# heliocentricLat[deg] normalizedFlux[unitless]
-7.284993993285645786e+00 9.279923604017575878e-01
-7.284845229446464288e+00 9.493227401986705782e-01
-7.284824324418823771e+00 1.008658301147947745e+00
-7.284572079599697325e+00 8.834507542559104643e-01
-7.284542069318922231e+00 9.491187620368060074e-01
-7.284218601247010483e+00 9.143303398604862853e-01
-7.283964473857706956e+00 9.506839025029522050e-01
-7.283879994942412672e+00 1.020882172176815761e+00
-7.282895601138144492e+00 9.419024702809365435e-01
-7.282785086867765934e+00 1.195746360224859473e+00
-7.282785054023732663e+00 1.001512562158153541e+00
-7.282785053414040810e+00 9.919830040773708335e-01
-7.282784990348603493e+00 9.972985234020644851e-01
-7.282460036155258720e+00 9.905903005944983741e-01
-7.282460024000364740e+00 9.788287175450431921e-01
-7.282460010891339763e+00 1.000058854885709669e+00
-7.282379411851071183e+00 9.483798477296844220e-01
-7.282364856190370439e+00 1.022642596252136382e+00
-7.281556461954696857e+00 9.733059408970471393e-01
-7.281499231675171657e+00 9.709638056448771648e-01
-7.281441901589860599e+00 9.725784698054235067e-01
-7.281304044535689357e+00 1.035322163581701371e+00
-7.281304041363395818e+00 1.030400687407748039e+00
-7.281303953693319286e+00 1.028888825109701033e+00
-7.281303780055435659e+00 1.035926418470773713e+00
-7.280987994805818708e+00 9.339484702391031012e-01
-7.280944498703683543e+00 9.021559245553287809e-01
-7.280831789367017137e+00 1.167503846558823444e+00
-7.280831788490263357e+00 1.162027764556469833e+00
-7.280831683245278185e+00 1.188610282774708704e+00
-7.280278887219103545e+00 1.052994945264911664e+00
-7.280267258294602861e+00 9.419121570800097487e-01
-7.280228219681450952e+00 9.388498299492232801e-01
-7.279853057813538086e+00 9.941826403656168765e-01
-7.279853043123427625e+00 9.837907936572775069e-01
-7.279853036104002584e+00 9.822729448428169086e-01
-7.279810277571585608e+00 1.062096082254134988e+00
-7.279810177750838385e+00 1.076303468094270466e+00
-7.279810070209267181e+00 1.051101506056179913e+00
-7.279728561077901006e+00 9.654456246784401952e-01
-7.278748997307276980e+00 9.356171330433026290e-01
-7.278697926079087388e+00 9.405597060633595907e-01
-7.278510820826721961e+00 9.842655015449616185e-01
-7.278162086523086494e+00 9.556076868647672695e-01
-7.277754432083646030e+00 9.865245699333065055e-01
-7.277754430263503771e+00 9.612100650044416161e-01
-7.277754381773499759e+00 9.791605118623227799e-01
-7.277754276558779267e+00 9.785971959220192140e-01
-7.277581218070349856e+00 1.029023295631153134e+00
-7.277025093639315045e+00 9.735999323775326175e-01
-7.276601188257631136e+00 1.166645775417115116e+00
-7.276601118972242155e+00 1.150805800637886511e+00
-7.276600976217590500e+00 1.167989464415353451e+00
-7.276590580857053681e+00 9.638759650436942161e-01
-7.276494210728448486e+00 9.726848080859602508e-01
-7.276365249821317605e+00 8.972188153814800726e-01
-7.275713984505577159e+00 9.401858193322910617e-01
-7.275663630034301832e+00 9.275399450388707168e-01
-7.275663628940402639e+00 9.387184417717575613e-01
-7.275464458562160175e+00 9.902496687447158719e-01
-7.275243325520973414e+00 7.551040994759147251e-01
-7.275243249090330266e+00 7.666269356607428032e-01
-7.275243247834199956e+00 7.427648396875222714e-01
