# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.273090685158851265e+00 9.972276250649108054e-01 7.514923054431951743e-02
-7.272710758551343524e+00 1.078610640270903254e+00 6.460606622267198174e-02
-7.272651002284617583e+00 9.951191018204601502e-01 1.053828115381161366e-03
-7.272650898626463523e+00 9.932656227671207150e-01 1.053695083152939070e-03
-7.272650787394432825e+00 9.921078282116958524e-01 1.053722439929007711e-03
-7.272112453854986391e+00 1.015184497529568963e+00 1.300268764813764877e-03
-7.271850714716546094e+00 1.079333937571664404e+00 8.343672587399655893e-02
-7.271849340135098316e+00 9.722703473922958972e-01 6.422507930361978645e-02
-7.271795128351563164e+00 9.873645687432445195e-01 6.529458226285637934e-02
-7.271393794106947972e+00 9.818197827325223503e-01 6.932012653278292469e-02
-7.271393792811310597e+00 9.801551126341855324e-01 6.906732472540921819e-02
-7.271341229466460554e+00 1.071554263313215793e+00 6.410733715436198188e-02
-7.271340051155838147e+00 8.983079944497603941e-01 1.291435419345112953e-03
-7.271336345672739121e+00 9.914625340530238695e-01 7.488516878479097028e-02
-7.271060851663561309e+00 1.051943644064132988e+00 6.338368829086891976e-02
-7.270596729923183510e+00 9.622037263273258700e-01 6.257263989681269289e-02
-7.270100344526980507e+00 1.136345816035044809e+00 9.187659987185756031e-04
-7.270100342804676430e+00 1.126991440517178811e+00 9.186970573344181408e-04
-7.270100249009252558e+00 1.099907237425038042e+00 9.184607156992534004e-04
-7.270100065539195633e+00 1.139336492221130426e+00 9.187128024763653285e-04
-7.269628590079462604e+00 1.040561058128365080e+00 8.179223857078947446e-02
-7.269406701510396474e+00 1.056535102702125695e+00 6.305907088922624304e-02
-7.269375851655315302e+00 1.055917403699762502e+00 6.309731976076261850e-02
-7.269195178407728442e+00 9.900235577321558900e-01 6.953395474911203133e-02
-7.269028649394594588e+00 1.019339798683108533e+00 7.612563246167103337e-02
-7.268803019920270891e+00 9.337893460628639009e-01 6.470986691092077414e-04
-7.268803018519085946e+00 9.236626977470983046e-01 6.467250546245965253e-04
-7.268802982740640850e+00 9.578846516771717390e-01 6.478507858674696770e-04
-7.268802946190079162e+00 9.611604712804273642e-01 6.476961910662842273e-04
-7.268691620074501536e+00 9.286947587131928472e-01 6.466229732896908297e-04
-7.268691585196061844e+00 9.098573827367189004e-01 6.463736362729633530e-04
-7.268691567757813665e+00 9.595980944163093884e-01 6.468814814213052480e-04
-7.268691567429867106e+00 9.590236855422226148e-01 6.468962061749019068e-04
-7.268471498362108818e+00 9.792356394723370494e-01 7.303873182147913035e-02
-7.268319756735228232e+00 1.066612002476206245e+00 8.343837637672131546e-02
-7.268081763222743241e+00 1.049227889378545164e+00 1.013074558958673276e-03
-7.268081621052605357e+00 1.059839688593155582e+00 1.013130056134130220e-03
-7.268081551267726148e+00 1.045892649034682931e+00 1.013036765494113988e-03
-7.267787598255197601e+00 9.939033323510803042e-01 8.375295060955521278e-04
-7.267787498218766018e+00 1.047722035181597455e+00 8.382340882684024457e-04
-7.267787497340514768e+00 1.026914311187550943e+00 8.381609019284805891e-04
-7.267787496484985788e+00 1.024956219015956904e+00 8.379692041207021519e-04
-7.267606536302465337e+00 1.020240507595778334e+00 7.602311538905807964e-02
-7.266912573470105663e+00 1.068595898440274361e+00 8.339423107322421758e-02
-7.266870418949324950e+00 1.042999152344831648e+00 8.178730654273330680e-02
-7.266662447009049508e+00 1.025606455857627664e+00 6.949138595523683204e-04
-7.266662393198266123e+00 1.018685566381952956e+00 6.945436371237975618e-04
-7.266662390105173230e+00 1.010216461038268898e+00 6.945625584514913443e-04
-7.266662334282739444e+00 9.981089626161253614e-01 6.944941515280057820e-04
-7.266566724594179405e+00 9.883386372825226918e-01 1.299848218305637822e-03
-7.266521721842664761e+00 1.077107069661364713e+00 6.505302333276306859e-02
-7.266481982832977415e+00 1.072970649402740007e+00 6.488010353912337935e-02
-7.266380298992483056e+00 1.004010248460301735e+00 7.038439078638994428e-02
-7.266329971059569459e+00 9.338464271136691641e-01 6.464834845128157158e-04
-7.266329968707716525e+00 9.257241542544959456e-01 6.463584564954651069e-04
-7.266329966399061036e+00 9.555834548726170885e-01 6.466443209125586093e-04
-7.266329964089756288e+00 9.563675333858737693e-01 6.466533728047403834e-04
-7.266228419896579638e+00 9.992524307027436103e-01 6.490832203306465265e-02
-7.266228418811065737e+00 9.781339913816109455e-01 6.346558514813857577e-02
-7.266122788671791177e+00 1.023869561815174967e+00 7.663534819757963912e-02
-7.266031096501840203e+00 9.696019854748838540e-01 7.314281760148311218e-02
-7.266016300879346801e+00 1.002105104647730505e+00 1.161799017530651228e-03
-7.264359297039056251e+00 1.000520897297793921e+00 7.389782878200840122e-02
-7.264294722874251597e+00 1.016163511199526193e+00 7.103153732030995093e-02
-7.263796487023205906e+00 1.044621635328299325e+00 6.227415822470351581e-02
-7.263600659695040207e+00 1.045202508359340365e+00 8.235493485766326449e-02
-7.263150955433061995e+00 8.682750608142668636e-01 1.094005571690520769e-03
-7.263150863898340859e+00 8.580416789352690587e-01 1.093964043616664538e-03
-7.263150860531628616e+00 8.576323917111846606e-01 1.093978198191853561e-03
-7.263150765640705053e+00 8.671205958812547854e-01 1.094051762709463910e-03
-7.262646753672941102e+00 9.955497027319624159e-01 7.369202481622895429e-02
-7.262528475760866797e+00 9.168119528437954635e-01 1.291640968730812947e-03
-7.262268952123831944e+00 1.054376057610074247e+00 6.959736022074548140e-04
-7.262268950835117032e+00 1.000569454863033725e+00 6.949211686906459073e-04
-7.262268947952740916e+00 1.037447744672587602e+00 6.951962967451140799e-04
