# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless]
-7.274985859537642874e+00 1.071798370698030745e+00 8.265968879476562337e-02
-7.274963264542638086e+00 9.890167687397822815e-01 7.579444814508431993e-02
-7.274961912948687548e+00 9.872329154541379381e-01 7.508062362868081485e-02
-7.274961691857845025e+00 1.036680801953000053e+00 8.347630027905120209e-02
-7.274961636956787991e+00 1.034627207402640581e+00 8.308673740021930987e-02
-7.274816819931591461e+00 1.098429524214694419e+00 8.421037355904313626e-02
-7.274788925863475697e+00 9.799816889116794716e-01 7.290601062770017682e-02
-7.274736852844254642e+00 9.831717343690569155e-01 7.300958399114469699e-02
-7.274717317313682763e+00 1.006679171349937230e+00 7.673626691705891234e-02
-7.274603251205851606e+00 1.014338236282021688e+00 6.884843491118149139e-02
-7.274345858626021233e+00 9.836496787767444738e-01 6.403881326153791631e-02
-7.274305240616600443e+00 9.968956771046926235e-01 7.564098310716096951e-02
-7.274075398091334854e+00 1.072092293390978668e+00 8.250561492311925260e-02
-7.273802489415263750e+00 9.988560279099302219e-01 7.510137368786230783e-02
-7.273755248118502159e+00 1.081938989077120938e+00 6.495951251694298545e-02
-7.273522436106978795e+00 1.064563483950499378e+00 6.384081160351773310e-02
-7.273474924557072008e+00 1.089961256205357998e+00 8.445708007267133111e-02
-7.273456229029083175e+00 1.069803474703542978e+00 8.328979140980982687e-02
-7.273448454230797111e+00 9.891253597606327608e-01 6.958413992619984223e-02
-7.273429203921465636e+00 1.067201596266899699e+00 6.422610786755821033e-02
-7.273111444275091486e+00 1.009344900748276874e+00 7.640997359045421933e-02
-7.273090685158851265e+00 9.972276250649108054e-01 7.514923054431951743e-02
-7.272710758551343524e+00 1.078610640270903254e+00 6.460606622267198174e-02
-7.272651002284617583e+00 1.014023311934991733e+00 1.332823811258710134e-01
-7.272650898626463523e+00 1.012630618170855978e+00 1.342651950646571446e-01
-7.272650787394432825e+00 1.011284983352066513e+00 1.336979660685775617e-01
-7.272112453854986391e+00 1.019525386096485686e+00 6.927877912751642664e-02
-7.271850714716546094e+00 1.079333937571664404e+00 8.343672587399655893e-02
-7.271849340135098316e+00 9.722703473922958972e-01 6.422507930361978645e-02
-7.271795128351563164e+00 9.873645687432445195e-01 6.529458226285637934e-02
