# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.282785087477633645e+00 1.008826824773548125e+00 1.095112218701398306e-02 2.452706295785999857e+06
-7.282785086257447027e+00 1.014345211575068628e+00 1.095117554452794059e-02 2.452706042721999809e+06
-7.282784988578675289e+00 1.011871236097493520e+00 1.095115868373542842e-02 2.452705792737999931e+06
-7.282460011342924311e+00 1.052256838017344931e+00 1.094793979107425326e-02 2.452704544182000216e+06
-7.282460011130856614e+00 1.000000000000000000e+00 1.094753440381684463e-02 2.452704794195000082e+06
-7.282460010653878157e+00 9.998423101124179757e-01 1.094740180818923672e-02 2.452705293525999878e+06
-7.282459998004206625e+00 1.010681917581107925e+00 1.094750194421061952e-02 2.452705044356000144e+06
-7.282389807656340253e+00 1.119855608385649015e+00 7.573083153759130326e-02 2.459644545398999937e+06
-7.282347045386799778e+00 9.690071459483097227e-01 9.457648761306976237e-02 2.454898045012999792e+06
-7.282314570779779395e+00 9.742914146074045378e-01 9.498025890471570309e-02 2.454898294954999816e+06
-7.281806692079882737e+00 8.616874324046305267e-01 8.285311294099707846e-02 2.454893795036999974e+06
-7.281303869364081471e+00 1.100150331794006453e+00 1.816025619764096918e-02 2.453074794912999962e+06
-7.281303783164231547e+00 1.116944289326885054e+00 1.816025940481501982e-02 2.453075044652000070e+06
-7.281303781695459776e+00 1.112706091414017440e+00 1.816043176888283706e-02 2.453074545051999856e+06
-7.281145128172709313e+00 9.880738359630024670e-01 9.623117936755377910e-02 2.454899294238000177e+06
-7.280957498771238434e+00 8.776030550721363177e-01 5.977035037722348149e-02 2.459648045303999912e+06
-7.280831787509269404e+00 1.280658765434989466e+00 1.389771345271336757e-02 2.452706545810999814e+06
-7.280831682263348981e+00 1.270343015709187506e+00 1.389775625589277641e-02 2.452706795444999821e+06
-7.280831631092029355e+00 1.260740521291203509e+00 1.389755588228848426e-02 2.452707044615999795e+06
-7.280831630110516706e+00 1.244976327594646826e+00 1.389744257878274859e-02 2.452707294511999935e+06
-7.280278887561700607e+00 1.099675608906990787e+00 7.430152768764057558e-02 2.459643545458000153e+06
-7.280189072402616368e+00 8.839478918758765236e-01 8.412160765065447576e-02 2.454894086693999823e+06
-7.279853057678393746e+00 9.919620363472096969e-01 1.043851227546806378e-02 2.452703795018000063e+06
-7.279853050667608017e+00 9.793109024713926303e-01 1.043833956840694611e-02 2.452704044923999812e+06
-7.279853050277882431e+00 9.753442041467333956e-01 1.043825122978437811e-02 2.452704294244999997e+06
-7.279853043243788235e+00 9.860212782955958266e-01 1.043845318877105292e-02 2.452703545452000108e+06
-7.279810281485609380e+00 1.136166921082864878e+00 2.226687429880852900e-02 2.453440794247999787e+06
-7.279810072175159519e+00 1.142308294851157147e+00 2.226696659497872169e-02 2.453440544342999812e+06
-7.279427158798881692e+00 9.792899688019954807e-01 5.701724337612946308e-02 2.454534795357999858e+06
-7.279304686185814610e+00 9.848906068227275545e-01 5.701319815524051593e-02 2.454534545599999838e+06
-7.278792038603441483e+00 8.959155207019108280e-01 8.458016881331335834e-02 2.454893545806000009e+06
-7.278705865967734390e+00 9.043033795350819970e-01 8.528302601664285165e-02 2.454894294639000203e+06
-7.278250596400328121e+00 9.849442791771784167e-01 9.593585850614251564e-02 2.454899044189999811e+06
-7.278206400052309455e+00 9.723856668532051550e-01 9.511707525830472021e-02 2.454898794321000110e+06
-7.277754433045340754e+00 8.533356988796438891e-01 1.696646008707529754e-02 2.453066545640000142e+06
-7.277754380810855572e+00 8.516399653301275352e-01 1.696613698545455101e-02 2.453067045665000100e+06
-7.277754328611132806e+00 8.438645708847949400e-01 1.696594257537481151e-02 2.453067295375000220e+06
-7.277754327753118702e+00 8.531945489604970678e-01 1.696634470245268062e-02 2.453066795735999942e+06
-7.277662943440494914e+00 1.104927311593015160e+00 7.471020696639106562e-02 2.459644045442000031e+06
-7.276601192173568045e+00 1.248682413457732121e+00 1.390406502875259423e-02 2.452708044567000121e+06
-7.276601117609574843e+00 1.263784201827079290e+00 1.390429073235478589e-02 2.452707794697000179e+06
-7.276601048219669465e+00 1.267436982164312109e+00 1.390408650957684379e-02 2.452708294600000139e+06
-7.276600973649195225e+00 1.228385874566608305e+00 1.390412650893684508e-02 2.452707544637000188e+06
-7.276542449386726119e+00 9.852576942970983076e-01 9.571874231841122349e-02 2.454898544615999795e+06
-7.276498637232551303e+00 8.283956582794944623e-01 5.086845461050219785e-02 2.454527295731999911e+06
-7.276431993578049706e+00 8.374944821698824260e-01 5.086784383519084296e-02 2.454527045721999835e+06
-7.275464460080980800e+00 9.180526503214530010e-01 6.249377666545959109e-02 2.459649044534000102e+06
-7.275418129972658576e+00 8.993576569345479443e-01 6.123388918563790057e-02 2.459648544664999936e+06
-7.275243322861295603e+00 6.496034703082931294e-01 3.304264231488349829e-02 2.453431544714999851e+06
-7.275243177008326789e+00 6.575334613381295101e-01 3.304238003395734008e-02 2.453432044267000165e+06
