# heliocentricLat[deg] normalizedFlux[unitless]
-7.256122975372121253e+00 9.931844947054903061e-01
-7.256122796925000173e+00 9.798599682388070553e-01
-7.256122795216985111e+00 9.700637519845654033e-01
-7.256083171266316079e+00 9.703578077316404871e-01
-7.255623220276498309e+00 9.948133297471792869e-01
-7.255623218471440872e+00 1.000241601604805686e+00
-7.255623029546423020e+00 1.012660592194342790e+00
-7.255622934897587584e+00 9.910060471872462751e-01
-7.255293903751080187e+00 1.033939765225322827e+00
-7.255286334379630553e+00 1.012278165645135619e+00
-7.254866385440310594e+00 9.176935463707709406e-01
-7.254866342901020282e+00 9.342742875038227979e-01
-7.254866302004661982e+00 9.300942444558907285e-01
-7.254866301221121638e+00 9.151603228137316082e-01
-7.254771759350380655e+00 9.669365326531613736e-01
-7.254135140841571072e+00 9.808216626081580625e-01
-7.254131053425416198e+00 1.281110219522630711e+00
-7.253845978007135820e+00 1.042326090513472581e+00
-7.253143496803158286e+00 9.088841303608302669e-01
-7.253143496428125836e+00 9.011842631949444904e-01
-7.253143496008891411e+00 8.957469445408078323e-01
-7.253143428228345790e+00 9.326330815310991396e-01
-7.252868656130392999e+00 1.024782727761968548e+00
-7.252738724921071523e+00 8.340263400905929547e-01
-7.252738639605096793e+00 8.385549991882653709e-01
-7.252738598925588143e+00 8.356756495198902623e-01
-7.252133248383663577e+00 9.823997709635132747e-01
-7.251797872819544466e+00 9.584586934108197953e-01
-7.251712266195579737e+00 9.480753413977422994e-01
-7.251639927796251328e+00 9.980236604258897470e-01
-7.251639923590313508e+00 9.758874938018159417e-01
-7.251639804858993621e+00 9.957047644660201868e-01
-7.251639688079014157e+00 9.822370534890574323e-01
-7.251335688889539277e+00 9.309785769183553938e-01
-7.251335682928549353e+00 9.396830653884492568e-01
-7.251335680180308607e+00 9.572493597094312578e-01
-7.251335680131845152e+00 9.370283094970556226e-01
-7.251263874225944761e+00 9.624839984704834928e-01
-7.251062006345230238e+00 9.979703830071839921e-01
-7.250584157476295033e+00 9.875437371805362297e-01
-7.250377127737857919e+00 1.054997974755223833e+00
-7.250310366413229346e+00 1.145837498310041003e+00
-7.250310233173924424e+00 1.158632197024756172e+00
-7.250310097510916485e+00 1.150111508602702504e+00
-7.250304016226589710e+00 1.022038480360582646e+00
-7.250114538890937155e+00 8.385554724421995232e-01
-7.250114478023411912e+00 8.565108412576999397e-01
-7.250114474700356304e+00 8.715717817609524021e-01
-7.250114413920808687e+00 8.405589089699005978e-01
-7.249792692134389149e+00 1.000000000000000000e+00
-7.249770675085103200e+00 1.019359378582028741e+00
-7.249615966348919471e+00 1.000948570148766370e+00
-7.248747239248626073e+00 7.771622636052640809e-01
-7.248747237333470927e+00 7.834523897382418278e-01
-7.248747126666728491e+00 7.683594396860597975e-01
-7.248746884425128378e+00 7.849416292870526890e-01
-7.248717214075992565e+00 1.049798401767361833e+00
-7.248641012999920363e+00 1.038024361254468397e+00
-7.248505069155926961e+00 1.007343133024537263e+00
-7.248505063918383229e+00 9.897454423848349725e-01
-7.248504623707093586e+00 1.005503205570017045e+00
-7.248355265543750647e+00 9.524649385914587540e-01
-7.248253758565821769e+00 9.694338558622326296e-01
-7.247895643560349654e+00 8.523500405293141791e-01
-7.247489542316383648e+00 9.798401733725697893e-01
-7.247308398094704174e+00 9.362220420359896877e-01
-7.247308397782751932e+00 9.549231016305655961e-01
-7.246726198255920792e+00 1.028286033074314432e+00
-7.246726080161563388e+00 1.055950245327258008e+00
-7.246725966440800804e+00 1.054334940278272237e+00
-7.246725848354115485e+00 1.049685685667725688e+00
-7.246640080735435419e+00 9.581604770721382502e-01
-7.246589931145260621e+00 9.380183029110971127e-01
-7.246589848062493289e+00 9.457821939178139292e-01
-7.246589757042672275e+00 9.198745702739367092e-01
-7.246589670803293970e+00 9.384901367671354411e-01
-7.246535625797097424e+00 9.526067065782348742e-01
-7.246514185265578334e+00 1.030107747696638487e+00
-7.246460421482922243e+00 9.735539222982660945e-01
-7.246440346136769683e+00 9.314930053102625784e-01
-7.246431075390426635e+00 9.551073064522477285e-01
-7.246020751087600686e+00 9.632009899358234817e-01
-7.245975445617669486e+00 9.527246619361745550e-01
-7.245943006251844842e+00 9.674891215279490808e-01
-7.245935813009612758e+00 9.710403623699186415e-01
-7.245864023065086812e+00 9.178103387398406365e-01
-7.245770539342690775e+00 9.077573728357198890e-01
-7.245770538187691123e+00 9.177123876392778712e-01
-7.245770476764870516e+00 9.098224007119813939e-01
-7.245770475605548100e+00 9.091478801979571145e-01
-7.245711735266135101e+00 9.929547718452619298e-01
-7.245688192365514979e+00 9.555826117552087551e-01
-7.245280321239501831e+00 9.062429371440444692e-01
-7.245280244029415506e+00 8.918584245460696724e-01
-7.245280239637228448e+00 8.721453256109926722e-01
-7.245114596767447956e+00 9.893965272920917098e-01
-7.244882236948340548e+00 9.935538241865461417e-01
-7.244881020305754760e+00 9.656972994204950922e-01
-7.244856762925911298e+00 9.618092342936216399e-01
-7.244838015940443299e+00 1.089297117316223362e+00
-7.244734196042966090e+00 9.130329065015236889e-01
-7.244371489414586307e+00 9.491646004777982704e-01
-7.244123025273537131e+00 8.520391987020172753e-01
-7.243897195581944892e+00 8.561810038623689501e-01
-7.243509669892759462e+00 9.818580168361131788e-01
-7.243509669844375054e+00 9.822938957349665046e-01
-7.243286899464834505e+00 1.199629401926676442e+00
-7.243224501176999119e+00 1.218529668405231137e+00
-7.242961575041306332e+00 9.902523586760693108e-01
-7.242426471043309277e+00 1.020803719629503670e+00
-7.242326769173333290e+00 1.028539180028486655e+00
-7.241971295611609349e+00 9.764161418801151626e-01
-7.241880491598492675e+00 9.944547754235626424e-01
-7.241880268198319648e+00 9.947718082615945034e-01
-7.241880157515782734e+00 1.002542984647474489e+00
-7.241880155437176114e+00 9.956725008281919198e-01
-7.241860001716244000e+00 1.085939577180801807e+00
-7.241775305140684793e+00 1.085997951216050250e+00
-7.241553255058206240e+00 9.682237226693450882e-01
-7.241063339169394375e+00 9.597216744883662054e-01
