# heliocentricLat[deg] normalizedFlux[unitless] normalizedFluxUnc[unitless] avgTimeOfObservation[JD]
-7.277754378987975947e+00 9.750941985742904716e-01 1.148051681369670479e-01 2.453066555039000232e+06
-7.277754277417868956e+00 9.551444182885275858e-01 1.131439040194606727e-01 2.453067055058000144e+06
-7.277622141204064476e+00 1.032615765268104946e+00 6.896810539543507534e-02 2.459643554920000024e+06
-7.277155462031177358e+00 9.950867056755564599e-01 6.748518128244758441e-02 2.454535304334000219e+06
-7.276601190958347232e+00 1.165099477066109612e+00 9.836903912358704871e-02 2.452707554076999892e+06
-7.276601120184937876e+00 1.176147220030211438e+00 1.001502886973825446e-01 2.452708304024999961e+06
-7.276601045656889255e+00 1.177542384317884716e+00 9.998523692722066647e-02 2.452708054022000171e+06
-7.276600972290861336e+00 1.181335346182546875e+00 1.000211961954614176e-01 2.452707804117999971e+06
-7.276542450586011235e+00 1.006113593670590278e+00 7.446582375360211170e-02 2.454899053563999943e+06
-7.276431992224709155e+00 9.457260988189065687e-01 6.292119164122354780e-02 2.454526554736999795e+06
-7.275613177480194871e+00 9.782866731035051444e-01 6.889934041128434328e-02 2.454892554363999981e+06
-7.275243250492003710e+00 8.761505745098986386e-01 1.091399632926841612e-01 2.453431554097000044e+06
-7.275243100649475991e+00 8.873242644077362629e-01 1.114113740477102876e-01 2.453432303323999979e+06
-7.275243097988489005e+00 8.746193396579675650e-01 1.092385622386355670e-01 2.453431804066999815e+06
-7.274961690879552911e+00 9.892174820333884400e-01 7.904805564957805009e-02 2.452702554868999869e+06
-7.274961638422047017e+00 1.008433037657358033e+00 8.101565739450510006e-02 2.452703054775000084e+06
-7.274961637410225279e+00 1.017467214055286062e+00 8.196153207484360714e-02 2.452703304767000023e+06
-7.274961610443646087e+00 1.000388074060502452e+00 8.015416748213900766e-02 2.452702804707000032e+06
-7.274957029339830683e+00 1.006215058555702369e+00 7.658729435630011462e-02 2.455260804690999910e+06
-7.274809353394176448e+00 1.010626689477721607e+00 7.783957766302387893e-02 2.455262077351999935e+06
-7.274801780211017643e+00 1.003603112415326848e+00 7.746486268133899455e-02 2.455262305114999879e+06
-7.274736851553877948e+00 9.964740145323218723e-01 7.440069288846123952e-02 2.454900052467999980e+06
-7.274708495152523824e+00 1.020563305553323863e+00 7.785880760130235723e-02 2.455261054694999941e+06
-7.274490584189451603e+00 1.020892617293295945e+00 7.845755260739506465e-02 2.455261844058999792e+06
-7.274075398467599207e+00 9.991900554825353664e-01 7.666766276005541891e-02 2.455261669916999992e+06
-7.274060626763367843e+00 1.002120740542905120e+00 7.686365851397683469e-02 2.455261630135000218e+06
-7.273785784719560610e+00 1.008985827058344720e+00 7.592646210817552421e-02 2.455259554773999844e+06
-7.273768981433112124e+00 1.012515464168795010e+00 7.653826648102449171e-02 2.455260054785999935e+06
-7.273515243198647617e+00 9.756439665854461651e-01 6.029667145652688881e-02 2.459280552567000035e+06
-7.273474924087921067e+00 1.007308919047508189e+00 7.848821904677755201e-02 2.455263304432000034e+06
-7.273429204594533459e+00 9.805770392464413510e-01 6.073245317775788354e-02 2.459281552693000063e+06
-7.273420706727797835e+00 9.985049212915007022e-01 6.190006615158742675e-02 2.459282052751999814e+06
-7.273393320391232209e+00 9.816840298429591050e-01 6.938777352065952919e-02 2.454893096096999943e+06
-7.273179430584344907e+00 1.000496124704840284e+00 7.437223693283610826e-02 2.454899552569000050e+06
-7.273068628084809362e+00 9.838051666743821144e-01 7.362213406115226955e-02 2.454900305159000214e+06
-7.272710714050779401e+00 1.003116547896674371e+00 7.779245855523711506e-02 2.455262804306999780e+06
-7.272651000272877475e+00 1.059866260195134302e+00 1.401005132609887405e-01 2.453076303294999991e+06
-7.272650679930105611e+00 1.057641927598255149e+00 1.394030775753005158e-01 2.453076053243000060e+06
-7.272039315728034303e+00 1.000504809718995913e+00 6.799959454734959274e-02 2.454535803541000001e+06
-7.271903440413154840e+00 9.858687897115995247e-01 6.676051986093002599e-02 2.459650053164999932e+06
-7.271341229399969741e+00 9.849992200715914636e-01 6.080055515888390522e-02 2.459280053154000081e+06
-7.271336346312951449e+00 1.014108751501148209e+00 7.648438067001138430e-02 2.455259804775000084e+06
-7.271334668187502182e+00 9.726638249395006541e-01 6.861741270458038278e-02 2.454892804368000012e+06
-7.271307693376254377e+00 1.015414196141253944e+00 7.693241195977681968e-02 2.455260304744000081e+06
-7.271265257772090429e+00 9.328553034857924864e-01 6.207275818209508772e-02 2.454527054733000230e+06
-7.271109106990557791e+00 9.773855736647416581e-01 6.067324493037695721e-02 2.459282555348999798e+06
-7.270857544288844565e+00 1.006823909183209631e+00 7.826460251829296666e-02 2.455263054485000204e+06
-7.270827210197842838e+00 9.991555326105938661e-01 7.730348301483187801e-02 2.455262554723999929e+06
-7.270653380093876628e+00 1.040941719610177785e+00 6.937263105269461660e-02 2.459642553596000187e+06
-7.270539964995176518e+00 1.014521254380500226e+00 6.769358324998928089e-02 2.459643053576999810e+06
-7.270235438082644386e+00 1.019469907709597223e+00 7.602919142321157286e-02 2.455258554831999820e+06
-7.270100254007175522e+00 1.164956959980629314e+00 9.976078176471432635e-02 2.452708804115999956e+06
-7.270100162277076450e+00 1.161463607562624123e+00 9.918192904722182568e-02 2.452708554068999831e+06
-7.270100160735561978e+00 1.155309068777943926e+00 9.921728755356432061e-02 2.452709054136999883e+06
-7.270100157281859765e+00 1.137229429501137812e+00 9.794552535384035141e-02 2.452709305056000128e+06
-7.269697176519314574e+00 1.017092772839941039e+00 7.981844470813040382e-02 2.455264054427000228e+06
-7.269487473061535532e+00 9.999564503141579186e-01 6.803943790536767788e-02 2.454536053144999780e+06
-7.269410506239895042e+00 9.976879408395098459e-01 6.796492733872920577e-02 2.454536304800999817e+06
-7.269406701761191414e+00 9.824883386568791233e-01 6.044677095370341868e-02 2.459278554971999954e+06
-7.269195179799049278e+00 9.845179858442523191e-01 6.909541821092257674e-02 2.454892013110000174e+06
-7.269065590598141391e+00 9.902687309664554016e-01 6.153257859701056348e-02 2.459283055346999783e+06
-7.268992186414140910e+00 1.017941258294518647e+00 7.642666978774796671e-02 2.455259304812000133e+06
