# t_obs[JD] flux[norm] flux_unc[norm]
2451617.0000000000 1.0002108725 0.0000977214
2451618.0000000000 1.0002079335 0.0000999256
2451619.0000000000 1.0002027903 0.0000962519
2451620.0000000000 1.0001778089 0.0001006604
2451621.0000000000 1.0001476842 0.0000962519
2451622.0000000000 1.0000580450 0.0000999256
2451623.0000000000 0.9999493024 0.0000977214
2451624.0000000000 0.9999478329 0.0000991909
2451625.0000000000 1.0000213077 0.0000991909
2451626.0000000000 1.0001440105 0.0000969867
2451627.0000000000 1.0003666389 0.0000999256
2451628.0000000000 1.0005620817 0.0000962519
2451629.0000000000 1.0006032276 0.0001006604
2451630.0000000000 1.0006370260 0.0000962519
2451631.0000000000 1.0006678854 0.0000999256
2451632.0000000000 1.0007068270 0.0000977214
2451633.0000000000 1.0007163787 0.0000984561
2451634.0000000000 1.0007046227 0.0000999256
2451635.0000000000 1.0007024185 0.0000969867
2451636.0000000000 1.0007046227 0.0001006604
2451637.0000000000 1.0007266652 0.0000984561
2451638.0000000000 1.0007861797 0.0001021299
2451639.0000000000 1.0008670019 0.0000977214
2451640.0000000000 1.0009199037 0.0001006604
2451641.0000000000 1.0009750098 0.0000984561
2451642.0000000000 1.0009742750 0.0000991909
2451643.0000000000 1.0009176995 0.0001006604
2451644.0000000000 1.0008816969 0.0000984561
2451645.0000000000 1.0008640629 0.0001013951
2451646.0000000000 1.0008589197 0.0000962519
2451647.0000000000 1.0008126306 0.0001006604
2451648.0000000000 1.0007758932 0.0000977214
2451649.0000000000 1.0007420949 0.0001006604
2451650.0000000000 1.0007193177 0.0000999256
2451651.0000000000 1.0007296041 0.0000991909
2451652.0000000000 1.0007780975 0.0000999256
2451653.0000000000 1.0007949967 0.0000962519
2451654.0000000000 1.0006877235 0.0001006604
2451655.0000000000 1.0005554690 0.0000969867
2451656.0000000000 1.0001902996 0.0001013951
2451657.0000000000 0.9997788410 0.0000984561
2451658.0000000000 0.9995290269 0.0000999256
2451659.0000000000 0.9993548918 0.0000991909
2451660.0000000000 0.9993343189 0.0000984561
2451661.0000000000 0.9995319659 0.0001006604
2451662.0000000000 0.9997457774 0.0000969867
2451663.0000000000 1.0000484933 0.0001013951
2451664.0000000000 1.0003468008 0.0000977214
2451665.0000000000 1.0005584080 0.0001013951
2451666.0000000000 1.0007582593 0.0000984561
2451667.0000000000 1.0008185086 0.0001013951
2451668.0000000000 1.0008023441 0.0001021299
2451669.0000000000 1.0008023441 0.0001006604
2451670.0000000000 1.0008155696 0.0001035994
2451671.0000000000 1.0008258561 0.0000999256
2451672.0000000000 1.0007611983 0.0001035994
2451673.0000000000 1.0006987448 0.0000977214
2451674.0000000000 1.0005606123 0.0001006604
2451675.0000000000 1.0004092543 0.0000977214
2451676.0000000000 1.0003460660 0.0000991909
2451677.0000000000 1.0003482703 0.0000999256
2451678.0000000000 1.0002975727 0.0000977214
2451679.0000000000 1.0001432757 0.0001013951
2451680.0000000000 0.9999720796 0.0000969867
2451681.0000000000 0.9997274087 0.0001006604
2451682.0000000000 0.9994790641 0.0000969867
2451683.0000000000 0.9994423267 0.0000999256
2451684.0000000000 0.9994658387 0.0000984561
2451685.0000000000 0.9996612815 0.0000977214
2451686.0000000000 1.0000514323 0.0000991909
2451687.0000000000 1.0003710474 0.0000969867
2451688.0000000000 1.0005481215 0.0000999256
2451689.0000000000 1.0006869888 0.0000962519
2451690.0000000000 1.0005870632 0.0001006604
2451691.0000000000 1.0004621561 0.0000977214
2451692.0000000000 1.0003629652 0.0001006604
2451693.0000000000 1.0002762650 0.0000984561
2451694.0000000000 1.0002270369 0.0000984561
2451695.0000000000 1.0002094030 0.0000991909
2451696.0000000000 1.0002240980 0.0000962519
2451697.0000000000 1.0003159414 0.0000999256
2451698.0000000000 1.0004019068 0.0000962519
2451699.0000000000 1.0003850076 0.0001006604
2451700.0000000000 1.0003556177 0.0000969867
2451701.0000000000 1.0003504745 0.0000991909
2451702.0000000000 1.0003607610 0.0000984561
2451703.0000000000 1.0003886814 0.0000984561
2451704.0000000000 1.0004371747 0.0001021299
2451705.0000000000 1.0004695036 0.0001006604
2451706.0000000000 1.0004298272 0.0001050689
2451707.0000000000 1.0004070500 0.0001013951
2451708.0000000000 1.0004746468 0.0001043341
2451709.0000000000 1.0005686945 0.0000999256
2451710.0000000000 1.0006120446 0.0001013951
2451711.0000000000 1.0006355565 0.0001006604
2451712.0000000000 1.0006164531 0.0000991909
2451713.0000000000 1.0005312224 0.0001021299
2451714.0000000000 1.0004886070 0.0000991909
2451715.0000000000 1.0005503258 0.0001035994
2451716.0000000000 1.0006289438 0.0000984561
2451717.0000000000 1.0006928668 0.0001013951
2451718.0000000000 1.0007619330 0.0000984561
2451719.0000000000 1.0006458429 0.0000999256
2451720.0000000000 1.0004195408 0.0001006604
2451721.0000000000 1.0002240980 0.0000984561
2451722.0000000000 1.0000661273 0.0001013951
2451723.0000000000 0.9999750186 0.0000977214
2451724.0000000000 1.0001344588 0.0001013951
2451725.0000000000 1.0003203499 0.0000977214
2451726.0000000000 1.0004930155 0.0001013951
2451727.0000000000 1.0006708244 0.0000991909
2451728.0000000000 1.0007075617 0.0000999256
2451729.0000000000 1.0006509862 0.0000999256
2451730.0000000000 1.0005738377 0.0000969867
2451731.0000000000 1.0004445222 0.0001006604
2451732.0000000000 1.0003372490 0.0000962519
2451733.0000000000 1.0003019812 0.0001006604
2451734.0000000000 1.0002821430 0.0000962519
2451735.0000000000 1.0002623048 0.0000999256
2451736.0000000000 1.0002461404 0.0000977214
2451737.0000000000 1.0003041854 0.0000984561
2451738.0000000000 1.0004254187 0.0000999256
2451739.0000000000 1.0005385698 0.0000969867
2451740.0000000000 1.0006245353 0.0001006604
2451741.0000000000 1.0006972753 0.0000969867
2451742.0000000000 1.0006267395 0.0001006604
2451743.0000000000 1.0005429783 0.0000969867
2451744.0000000000 1.0003857424 0.0001006604
2451745.0000000000 1.0002035250 0.0000999256
2451746.0000000000 1.0001726656 0.0001006604
2451747.0000000000 1.0002931642 0.0001035994
2451748.0000000000 1.0003813339 0.0001006604
2451749.0000000000 1.0003820686 0.0001035994
2451750.0000000000 1.0004092543 0.0000969867
2451751.0000000000 1.0005900021 0.0001013951
2451752.0000000000 1.0008052831 0.0000977214
2451753.0000000000 1.0009206385 0.0000999256
2451754.0000000000 1.0010043997 0.0000991909
2451755.0000000000 1.0010543625 0.0000984561
2451756.0000000000 1.0010595057 0.0001006604
2451757.0000000000 1.0010573015 0.0000977214
2451758.0000000000 1.0009786835 0.0001013951
2451759.0000000000 1.0009199037 0.0000969867
2451760.0000000000 1.0008846358 0.0000999256
2451761.0000000000 1.0008706756 0.0000969867
2451762.0000000000 1.0008082221 0.0000991909
2451763.0000000000 1.0007273999 0.0000991909
2451764.0000000000 1.0007082965 0.0000977214
2451765.0000000000 1.0007656068 0.0000999256
2451766.0000000000 1.0008559807 0.0000962519
2451767.0000000000 1.0010146861 0.0001006604
2451768.0000000000 1.0011770653 0.0000962519
2451769.0000000000 1.0011329805 0.0001006604
2451770.0000000000 1.0010573015 0.0000977214
2451771.0000000000 1.0009470894 0.0000991909
2451772.0000000000 1.0008258561 0.0000991909
2451773.0000000000 1.0008030789 0.0000977214
2451774.0000000000 1.0009272512 0.0001006604
2451775.0000000000 1.0010374633 0.0000969867
2451776.0000000000 1.0010132166 0.0001013951
2451777.0000000000 1.0009882352 0.0000969867
2451778.0000000000 1.0008647977 0.0001006604
2451779.0000000000 1.0007266652 0.0000977214
2451780.0000000000 1.0006590684 0.0000984561
2451781.0000000000 1.0006443735 0.0000991909
2451782.0000000000 1.0006201268 0.0000969867
2451783.0000000000 1.0005628165 0.0000999256
2451784.0000000000 1.0005363656 0.0000962519
2451785.0000000000 1.0005958801 0.0001006604
2451786.0000000000 1.0006722939 0.0000962519
2451787.0000000000 1.0007046227 0.0000999256
2451788.0000000000 1.0007347474 0.0000977214
2451789.0000000000 1.0007141745 0.0000984561
2451790.0000000000 1.0006546599 0.0000999256
2451791.0000000000 1.0006392302 0.0000969867
2451792.0000000000 1.0007031532 0.0001006604
2451793.0000000000 1.0008030789 0.0000962519
2451794.0000000000 1.0010117471 0.0001006604
2451795.0000000000 1.0012490705 0.0000969867
2451796.0000000000 1.0012931554 0.0000999256
2451797.0000000000 1.0012799299 0.0000984561
2451798.0000000000 1.0012211501 0.0000984561
2451799.0000000000 1.0011138770 0.0000999256
2451800.0000000000 1.0010132166 0.0000969867
2451801.0000000000 1.0008816969 0.0000999256
2451802.0000000000 1.0007634025 0.0000962519
2451803.0000000000 1.0006171878 0.0000999256
2451804.0000000000 1.0004731773 0.0000962519
2451805.0000000000 1.0002094030 0.0000991909
2451806.0000000000 0.9998875837 0.0000984561
2451807.0000000000 0.9995914805 0.0000977214
2451808.0000000000 0.9993166849 0.0000999256
2451809.0000000000 0.9991403456 0.0000969867
2451810.0000000000 0.9992939078 0.0001006604
2451811.0000000000 0.9994812684 0.0000962519
2451812.0000000000 0.9999235863 0.0001006604
2451813.0000000000 1.0004158670 0.0000969867
2451814.0000000000 1.0007141745 0.0000999256
2451815.0000000000 1.0009199037 0.0001006604
2451816.0000000000 1.0009470894 0.0000999256
2451817.0000000000 1.0007149092 0.0001021299
2451818.0000000000 1.0005532648 0.0000984561
2451819.0000000000 1.0005944106 0.0001021299
2451820.0000000000 1.0006730286 0.0000977214
2451821.0000000000 1.0008412857 0.0001006604
2451822.0000000000 1.0010484845 0.0000977214
2451823.0000000000 1.0011102033 0.0000991909
2451824.0000000000 1.0010955083 0.0000999256
2451825.0000000000 1.0010440760 0.0000984561
2451826.0000000000 1.0009176995 0.0001006604
2451827.0000000000 1.0008302645 0.0000969867
2451828.0000000000 1.0008405510 0.0001006604
2451829.0000000000 1.0008787579 0.0000969867
2451830.0000000000 1.0009162300 0.0001006604
2451831.0000000000 1.0009691318 0.0000984561
2451832.0000000000 1.0010301158 0.0000999256
2451833.0000000000 1.0011065296 0.0000999256
2451834.0000000000 1.0011417974 0.0000977214
2451835.0000000000 1.0010778744 0.0000999256
2451836.0000000000 1.0010249726 0.0000962519
2451837.0000000000 1.0009323944 0.0001006604
2451838.0000000000 1.0008625934 0.0000962519
2451839.0000000000 1.0009338639 0.0000999256
2451840.0000000000 1.0010705269 0.0000977214
2451841.0000000000 1.0011697178 0.0000984561
2451842.0000000000 1.0012453968 0.0000999256
2451843.0000000000 1.0012850732 0.0000969867
2451844.0000000000 1.0012049857 0.0001006604
2451845.0000000000 1.0011513491 0.0000969867
2451846.0000000000 1.0011351847 0.0001013951
2451847.0000000000 1.0011410627 0.0000977214
2451848.0000000000 1.0010352591 0.0001006604
2451849.0000000000 1.0008978613 0.0000984561
2451850.0000000000 1.0007898534 0.0000984561
2451851.0000000000 1.0007075617 0.0000999256
2451852.0000000000 1.0006928668 0.0000969867
2451853.0000000000 1.0008170391 0.0001006604
2451854.0000000000 1.0009544368 0.0000962519
2451855.0000000000 1.0009735403 0.0000999256
2451856.0000000000 1.0009779488 0.0000969867
2451857.0000000000 1.0008692061 0.0000991909
2451858.0000000000 1.0007200524 0.0000984561
2451859.0000000000 1.0006458429 0.0000984561
2451860.0000000000 1.0006546599 0.0001006604
2451861.0000000000 1.0006862541 0.0000969867
2451862.0000000000 1.0007567898 0.0001006604
2451863.0000000000 1.0008317340 0.0000962519
2451864.0000000000 1.0007972009 0.0001006604
2451865.0000000000 1.0007545856 0.0000969867
2451866.0000000000 1.0006833151 0.0000991909
2451867.0000000000 1.0006024929 0.0000991909
2451868.0000000000 1.0005958801 0.0000977214
2451869.0000000000 1.0006884583 0.0001006604
2451870.0000000000 1.0007839755 0.0000969867
2451871.0000000000 1.0008537765 0.0001006604
2451872.0000000000 1.0009287207 0.0000962519
2451873.0000000000 1.0009265164 0.0001006604
2451874.0000000000 1.0009221080 0.0000977214
2451875.0000000000 1.0009015350 0.0000991909
2451876.0000000000 1.0008772884 0.0000991909
2451877.0000000000 nan nan
2451878.0000000000 1.0009309249 0.0001013951
2451879.0000000000 1.0009948480 0.0000962519
2451880.0000000000 1.0010734659 0.0001013951
2451881.0000000000 1.0011609009 0.0000977214
2451882.0000000000 1.0011028558 0.0000999256
2451883.0000000000 1.0010168904 0.0000991909
2451884.0000000000 1.0009052088 0.0001035994
2451885.0000000000 1.0007854449 0.0001043341
2451886.0000000000 1.0007362169 0.0001043341
2451887.0000000000 1.0008030789 0.0001109469
2451888.0000000000 1.0008787579 0.0001109469
2451889.0000000000 1.0009081478 0.0001153553
2451890.0000000000 1.0009426809 0.0001131511
2451891.0000000000 1.0008706756 0.0001109469
2451892.0000000000 1.0007744237 0.0001035994
2451893.0000000000 1.0007780975 0.0000991909
2451894.0000000000 1.0008692061 0.0001006604
2451895.0000000000 1.0009838267 0.0001013951
2451896.0000000000 1.0011271025 0.0001035994
2451897.0000000000 1.0012564180 0.0000977214
2451898.0000000000 1.0011785348 0.0001013951
2451899.0000000000 1.0010940388 0.0000977214
2451900.0000000000 1.0009875005 0.0001013951
2451901.0000000000 1.0008883096 0.0001021299
2451902.0000000000 1.0008390815 0.0001035994
2451903.0000000000 1.0008376120 0.0001035994
2451904.0000000000 1.0008486332 0.0000984561
2451905.0000000000 1.0008545112 0.0001021299
2451906.0000000000 1.0008611239 0.0000969867
2451907.0000000000 1.0007509118 0.0001006604
2451908.0000000000 1.0006348217 0.0000977214
2451909.0000000000 1.0005326918 0.0000999256
2451910.0000000000 1.0004437874 0.0000991909
2451911.0000000000 1.0004437874 0.0000977214
2451912.0000000000 1.0005503258 0.0000999256
2451913.0000000000 1.0006708244 0.0000969867
2451914.0000000000 1.0008052831 0.0001006604
2451915.0000000000 1.0009470894 0.0000962519
2451916.0000000000 1.0010007259 0.0001006604
2451917.0000000000 1.0010528930 0.0000999256
2451918.0000000000 1.0009882352 0.0001021299
2451919.0000000000 1.0008736146 0.0001006604
2451920.0000000000 1.0007582593 0.0000991909
2451921.0000000000 1.0006340870 0.0001013951
2451922.0000000000 1.0005679597 0.0000969867
2451923.0000000000 1.0006708244 0.0001021299
2451924.0000000000 nan nan
2451925.0000000000 1.0009360682 0.0000999256
2451926.0000000000 1.0010595057 0.0001006604
2451927.0000000000 1.0010742007 0.0001006604
2451928.0000000000 1.0010323201 0.0000991909
2451929.0000000000 1.0009985217 0.0000977214
2451930.0000000000 1.0009595801 0.0001006604
2451931.0000000000 1.0009368029 0.0001013951
2451932.0000000000 1.0009074130 0.0001072731
2451933.0000000000 1.0008934528 0.0001058036
2451934.0000000000 1.0008692061 0.0001109469
2451935.0000000000 1.0008567154 0.0001109469
2451936.0000000000 1.0008640629 0.0001080079
2451937.0000000000 1.0008912486 0.0001035994
2451938.0000000000 1.0009323944 0.0000977214
2451939.0000000000 1.0009816225 0.0001006604
2451940.0000000000 1.0010404023 0.0000969867
2451941.0000000000 1.0010528930 0.0001006604
2451942.0000000000 1.0010808134 0.0000969867
2451943.0000000000 1.0010837524 0.0001006604
2451944.0000000000 1.0010977126 0.0000999256
2451945.0000000000 1.0010381980 0.0001006604
2451946.0000000000 1.0009176995 0.0001013951
2451947.0000000000 1.0008390815 0.0000977214
2451948.0000000000 1.0008199781 0.0000999256
2451949.0000000000 1.0008192433 0.0000969867
2451950.0000000000 1.0008148348 0.0001035994
2451951.0000000000 1.0008243866 0.0001013951
2451952.0000000000 1.0008346730 0.0001043341
2451953.0000000000 1.0008589197 0.0001021299
2451954.0000000000 1.0008662672 0.0001013951
2451955.0000000000 1.0008559807 0.0001035994
2451956.0000000000 1.0008427552 0.0000984561
2451957.0000000000 1.0007876492 0.0001006604
2451958.0000000000 1.0007509118 0.0000984561
2451959.0000000000 1.0007531161 0.0001035994
2451960.0000000000 1.0007780975 0.0001013951
2451961.0000000000 1.0008148348 0.0001035994
2451962.0000000000 1.0008684714 0.0001006604
2451963.0000000000 1.0008861053 0.0000991909
2451964.0000000000 1.0008559807 0.0001006604
2451965.0000000000 1.0008420205 0.0000962519
2451966.0000000000 1.0008317340 0.0001006604
2451967.0000000000 1.0008420205 0.0000969867
2451968.0000000000 1.0008809621 0.0001013951
2451969.0000000000 1.0009397419 0.0000977214
2451970.0000000000 1.0009221080 0.0000999256
2451971.0000000000 1.0008743494 0.0001013951
2451972.0000000000 1.0007817712 0.0001013951
2451973.0000000000 1.0006135141 0.0001021299
2451974.0000000000 1.0005003630 0.0000984561
2451975.0000000000 1.0005062409 0.0001013951
2451976.0000000000 1.0005356308 0.0000977214
2451977.0000000000 1.0006546599 0.0001006604
2451978.0000000000 1.0008082221 0.0000977214
2451979.0000000000 1.0008589197 0.0000991909
2451980.0000000000 1.0008523070 0.0000999256
2451981.0000000000 1.0008074874 0.0000984561
2451982.0000000000 1.0006855193 0.0001013951
2451983.0000000000 1.0005973496 0.0000977214
2451984.0000000000 1.0006142488 0.0001006604
2451985.0000000000 1.0006561294 0.0000962519
2451986.0000000000 1.0007193177 0.0000999256
2451987.0000000000 1.0008030789 0.0000977214
2451988.0000000000 1.0008280603 0.0000984561
2451989.0000000000 1.0008148348 0.0000999256
2451990.0000000000 1.0007560551 0.0000969867
2451991.0000000000 1.0005848589 0.0001006604
2451992.0000000000 1.0003930898 0.0000969867
2451993.0000000000 1.0000558408 0.0001013951
2451994.0000000000 0.9996994883 0.0000977214
2451995.0000000000 0.9993930987 0.0001006604
2451996.0000000000 0.9990867090 0.0000984561
2451997.0000000000 0.9990749530 0.0000991909
2451998.0000000000 0.9993122765 0.0000999256
2451999.0000000000 0.9995804592 0.0000969867
2452000.0000000000 0.9999478329 0.0001006604
2452001.0000000000 1.0002894905 0.0000977214
2452002.0000000000 1.0004878723 0.0001006604
2452003.0000000000 1.0006583337 0.0000969867
2452004.0000000000 1.0005576733 0.0000999256
2452005.0000000000 1.0003534135 0.0000984561
2452006.0000000000 1.0002094030 0.0000991909
2452007.0000000000 1.0001212333 0.0001021299
2452008.0000000000 1.0000698010 0.0001013951
2452009.0000000000 1.0001116816 0.0001065384
2452010.0000000000 1.0001726656 0.0001043341
2452011.0000000000 1.0003240236 0.0001035994
2452012.0000000000 1.0004952197 0.0000969867
2452013.0000000000 1.0005797157 0.0001021299
2452014.0000000000 1.0006296785 0.0001160901
2452015.0000000000 1.0006399650 0.0001307850
2452016.0000000000 1.0005980844 0.0001388673
2452017.0000000000 1.0005576733 0.0001373978
2452018.0000000000 1.0004930155 0.0001219681
2452019.0000000000 1.0004276230 0.0001058036
2452020.0000000000 1.0002902252 0.0001058036
2452021.0000000000 1.0001432757 0.0001006604
2452022.0000000000 1.0000947824 0.0001006604
2452023.0000000000 1.0000991909 0.0000991909
2452024.0000000000 1.0001542969 0.0000969867
2452025.0000000000 1.0002836125 0.0000999256
2452026.0000000000 1.0004166018 0.0000969867
2452027.0000000000 1.0005429783 0.0001021299
2452028.0000000000 1.0006708244 0.0000999256
2452029.0000000000 1.0007002143 0.0001035994
2452030.0000000000 1.0007149092 0.0000991909
2452031.0000000000 1.0006752328 0.0001006604
2452032.0000000000 1.0006032276 0.0001013951
2452033.0000000000 1.0005848589 0.0000999256
2452034.0000000000 1.0006443735 0.0001013951
2452035.0000000000 1.0007016837 0.0000969867
2452036.0000000000 1.0006987448 0.0001006604
2452037.0000000000 1.0006972753 0.0000962519
2452038.0000000000 1.0006120446 0.0000999256
2452039.0000000000 1.0005106494 0.0000977214
2452040.0000000000 1.0003570872 0.0000984561
2452041.0000000000 1.0001631139 0.0000991909
2452042.0000000000 1.0000668620 0.0000969867
2452043.0000000000 1.0001557664 0.0001006604
2452044.0000000000 1.0002652438 0.0000962519
2452045.0000000000 1.0004606866 0.0001006604
2452046.0000000000 1.0006715591 0.0000969867
2452047.0000000000 1.0007420949 0.0001006604
2452048.0000000000 1.0007780975 0.0000984561
2452049.0000000000 1.0007075617 0.0000991909
2452050.0000000000 1.0005466521 0.0000999256
2452051.0000000000 1.0003967636 0.0000969867
2452052.0000000000 1.0002498141 0.0001006604
2452053.0000000000 1.0001491537 0.0000962519
2452054.0000000000 1.0002858167 0.0001006604
2452055.0000000000 1.0004658298 0.0000962519
2452056.0000000000 1.0006575989 0.0000991909
2452057.0000000000 1.0008662672 0.0000984561
2452058.0000000000 1.0009617843 0.0000984561
2452059.0000000000 1.0009441504 0.0000999256
2452060.0000000000 1.0009162300 0.0000969867
2452061.0000000000 1.0008207128 0.0001006604
2452062.0000000000 1.0007362169 0.0000962519
2452063.0000000000 1.0006274743 0.0001006604
2452064.0000000000 1.0005282834 0.0000977214
2452065.0000000000 1.0004680341 0.0001006604
2452066.0000000000 1.0004305620 0.0000999256
2452067.0000000000 1.0003240236 0.0000991909
2452068.0000000000 1.0001300503 0.0001006604
2452069.0000000000 1.0000073475 0.0000969867
2452070.0000000000 1.0000947824 0.0001013951
2452071.0000000000 1.0002049945 0.0000977214
2452072.0000000000 1.0003820686 0.0001013951
2452073.0000000000 1.0005797157 0.0000977214
2452074.0000000000 1.0006135141 0.0000999256
2452075.0000000000 1.0005679597 0.0000991909
2452076.0000000000 1.0004437874 0.0000977214
2452077.0000000000 1.0001991165 0.0000999256
2452078.0000000000 0.9999992653 0.0000962519
2452079.0000000000 0.9999360770 0.0001006604
2452080.0000000000 0.9999074218 0.0000962519
2452081.0000000000 1.0001182943 0.0000999256
2452082.0000000000 1.0003930898 0.0000969867
2452083.0000000000 1.0005731030 0.0000991909
2452084.0000000000 1.0007031532 0.0000991909
2452085.0000000000 1.0007641373 0.0000977214
2452086.0000000000 1.0007031532 0.0001006604
2452087.0000000000 1.0006686201 0.0000962519
2452088.0000000000 1.0006987448 0.0001006604
2452089.0000000000 1.0007531161 0.0000962519
2452090.0000000000 1.0008552459 0.0000999256
2452091.0000000000 1.0009838267 0.0000969867
2452092.0000000000 1.0010080734 0.0000999256
2452093.0000000000 1.0009860310 0.0000999256
2452094.0000000000 1.0009309249 0.0000984561
2452095.0000000000 1.0007876492 0.0001021299
2452096.0000000000 1.0006678854 0.0000984561
2452097.0000000000 1.0005951454 0.0001021299
2452098.0000000000 1.0005481215 0.0000977214
2452099.0000000000 1.0006223310 0.0001006604
2452100.0000000000 1.0007494423 0.0000984561
2452101.0000000000 1.0008111611 0.0000991909
2452102.0000000000 1.0008317340 0.0000999256
2452103.0000000000 1.0007972009 0.0000977214
2452104.0000000000 1.0006120446 0.0001006604
2452105.0000000000 1.0004570129 0.0000969867
2452106.0000000000 1.0004298272 0.0001006604
2452107.0000000000 1.0004335010 0.0000969867
2452108.0000000000 1.0005003630 0.0000999256
2452109.0000000000 1.0006017581 0.0000984561
2452110.0000000000 1.0006245353 0.0000984561
2452111.0000000000 1.0005701640 0.0001006604
2452112.0000000000 1.0005341613 0.0000984561
2452113.0000000000 1.0005238749 0.0001021299
2452114.0000000000 1.0005260791 0.0000977214
2452115.0000000000 1.0005488563 0.0000999256
2452116.0000000000 1.0005870632 0.0000984561
2452117.0000000000 1.0006414345 0.0001013951
2452118.0000000000 1.0007119702 0.0001013951
2452119.0000000000 1.0007634025 0.0000977214
2452120.0000000000 1.0007545856 0.0001006604
2452121.0000000000 1.0007340126 0.0000984561
2452122.0000000000 1.0006465777 0.0001013951
2452123.0000000000 1.0005562038 0.0000962519
2452124.0000000000 1.0003820686 0.0001006604
2452125.0000000000 1.0001991165 0.0000977214
2452126.0000000000 1.0001520927 0.0001013951
2452127.0000000000 1.0001814826 0.0001035994
2452128.0000000000 1.0002571616 0.0001050689
2452129.0000000000 1.0004004373 0.0001094774
2452130.0000000000 1.0005018325 0.0001065384
2452131.0000000000 1.0004335010 0.0001043341
2452132.0000000000 1.0003681084 0.0000977214
2452133.0000000000 1.0004107238 0.0001006604
2452134.0000000000 1.0004878723 0.0000984561
2452135.0000000000 1.0006091056 0.0001006604
2452136.0000000000 1.0007663415 0.0001021299
2452137.0000000000 1.0008552459 0.0001006604
2452138.0000000000 1.0008199781 0.0001021299
2452139.0000000000 1.0007656068 0.0000977214
2452140.0000000000 1.0005760419 0.0001035994
2452141.0000000000 1.0003974983 0.0001006604
2452142.0000000000 1.0004019068 0.0001050689
2452143.0000000000 1.0004680341 0.0001035994
2452144.0000000000 1.0005312224 0.0001035994
2452145.0000000000 1.0005973496 0.0001021299
2452146.0000000000 1.0006223310 0.0000984561
2452147.0000000000 1.0005539995 0.0001035994
2452148.0000000000 1.0004944850 0.0000999256
2452149.0000000000 1.0004379094 0.0001043341
2452150.0000000000 1.0003894161 0.0001035994
2452151.0000000000 1.0003357796 0.0001035994
2452152.0000000000 1.0002843472 0.0000999256
2452153.0000000000 1.0002586311 0.0000999256
2452154.0000000000 1.0002534878 0.0001013951
2452155.0000000000 1.0002733260 0.0000991909
2452156.0000000000 1.0003453313 0.0001021299
2452157.0000000000 1.0004188060 0.0000977214
2452158.0000000000 1.0004511349 0.0001013951
2452159.0000000000 1.0004783205 0.0000969867
2452160.0000000000 1.0003321058 0.0000999256
2452161.0000000000 1.0001190291 0.0000991909
2452162.0000000000 1.0000249814 0.0000991909
2452163.0000000000 1.0000506976 0.0001006604
2452164.0000000000 1.0001337240 0.0000977214
2452165.0000000000 1.0003717822 0.0001013951
2452166.0000000000 1.0006091056 0.0000969867
2452167.0000000000 1.0007450338 0.0001006604
2452168.0000000000 1.0008736146 0.0000977214
2452169.0000000000 1.0008390815 0.0000999256
2452170.0000000000 1.0007398906 0.0000991909
2452171.0000000000 1.0006267395 0.0000984561
2452172.0000000000 1.0004849333 0.0000999256
2452173.0000000000 1.0003394533 0.0000969867
2452174.0000000000 1.0001550317 0.0001006604
2452175.0000000000 0.9999831008 0.0000969867
2452176.0000000000 0.9999162388 0.0001006604
2452177.0000000000 0.9998699497 0.0000977214
2452178.0000000000 0.9999478329 0.0000999256
2452179.0000000000 1.0000925782 0.0000984561
2452180.0000000000 1.0002299759 0.0000969867
2452181.0000000000 1.0003578220 0.0000999256
2452182.0000000000 1.0004930155 0.0000962519
2452183.0000000000 1.0006414345 0.0001006604
2452184.0000000000 1.0008030789 0.0000962519
2452185.0000000000 1.0009838267 0.0000999256
2452186.0000000000 1.0011851475 0.0000977214
2452187.0000000000 1.0012049857 0.0000991909
2452188.0000000000 1.0011190203 0.0000991909
2452189.0000000000 1.0010587710 0.0000969867
2452190.0000000000 1.0010168904 0.0000999256
2452191.0000000000 1.0010073387 0.0000962519
2452192.0000000000 1.0010477498 0.0000999256
2452193.0000000000 1.0011028558 0.0000962519
2452194.0000000000 1.0009852962 0.0000999256
2452195.0000000000 1.0008332035 0.0000977214
2452196.0000000000 1.0006884583 0.0000991909
2452197.0000000000 1.0005503258 0.0000999256
2452198.0000000000 1.0004621561 0.0000977214
2452199.0000000000 1.0004562781 0.0001013951
2452200.0000000000 1.0004731773 0.0000969867
2452201.0000000000 1.0005481215 0.0001013951
2452202.0000000000 1.0006399650 0.0000984561
2452203.0000000000 1.0007046227 0.0001035994
2452204.0000000000 1.0007692805 0.0001043341
2452205.0000000000 1.0007935272 0.0001058036
2452206.0000000000 1.0007854449 0.0001058036
2452207.0000000000 1.0007303389 0.0001043341
2452208.0000000000 1.0005444478 0.0001138858
2452209.0000000000 1.0003666389 0.0001182943
2452210.0000000000 1.0001991165 0.0001212333
2452211.0000000000 1.0000433501 0.0001182943
2452212.0000000000 1.0000168992 0.0001219681
2452213.0000000000 1.0000433501 0.0001241723
2452214.0000000000 1.0001285808 0.0001271113
2452215.0000000000 1.0002784693 0.0001307850
2452216.0000000000 1.0004239492 0.0001278460
2452217.0000000000 1.0005510605 0.0001190291
2452218.0000000000 1.0006605379 0.0001072731
2452219.0000000000 1.0005826547 0.0001080079
2452220.0000000000 1.0004768510 0.0001035994
2452221.0000000000 1.0002990422 0.0001035994
2452222.0000000000 1.0000889044 0.0000999256
2452223.0000000000 1.0000514323 0.0000984561
2452224.0000000000 1.0002218937 0.0000999256
