# t_obs[JD] firstOrderFlux[norm] firstOrderFluxUnc[norm] centralOrderFlux[norm] centralOrderFluxUnc[norm]
2452591.0000000000 1.5690841721 0.0111554221 3.5309063484 0.6669419436
2452592.0000000000 1.5205087810 0.0093414648 3.5148107722 0.3799163918
2452593.0000000000 1.5239117245 0.0055705597 3.9474643430 0.7821703433
2452594.0000000000 1.5295233204 0.0052326018 3.8632104391 0.5616019764
2452595.0000000000 1.5160239470 0.0100179033 3.3223798923 0.1584518722
2452596.0000000000 1.5022566384 0.0062500141 3.5050465688 0.3663182817
2452597.0000000000 1.4847315054 0.0067359562 3.1900822067 0.4473988173
2452598.0000000000 1.4624757880 0.0044775591 3.2482202046 0.2955920789
2452599.0000000000 1.4552112362 0.0051418775 2.8864798085 0.2216992731
2452600.0000000000 1.4421806418 0.0032355008 2.7931309094 0.1711896247
2452601.0000000000 1.4332339427 0.0035099905 2.7056403163 0.1269836005
2452602.0000000000 1.4346622667 0.0040602201 2.6558812968 0.1265334499
2452603.0000000000 1.4280823606 0.0117196717 2.6418244712 0.4068477831
2452604.0000000000 1.4322267647 0.0056318384 2.4478020782 0.1163097711
2452605.0000000000 1.4329397825 0.0045283351 2.6164568050 0.1720504664
2452606.0000000000 1.4545933289 0.0053090660 3.0029442314 0.3554888180
2452607.0000000000 1.4656769555 0.0075252616 2.9741211509 0.3714285468
2452608.0000000000 1.4712009771 0.0037749239 2.5108223723 0.0851172199
2452609.0000000000 1.4913117434 0.0074941843 2.4798486160 0.0571437593
2452610.0000000000 1.5036724891 0.0074009809 2.5907666935 0.1799013464
2452611.0000000000 1.5241382211 0.0032783591 2.4832149455 0.1671061515
2452612.0000000000 1.5292492686 0.0046619107 2.4354056234 0.1353418366
2452613.0000000000 1.5329330373 0.0066070139 2.5363826884 0.4684447843
2452614.0000000000 1.5381794614 0.0063563548 2.4670022411 0.0431742952
2452615.0000000000 1.5571969305 0.0030587772 2.4826413605 0.0676787483
2452616.0000000000 1.5671806701 0.0062193677 2.5809185592 0.0677456700
2452617.0000000000 1.5879543139 0.0038013113 2.7920207623 0.1083114700
2452618.0000000000 1.6002471982 0.0058725669 3.0737776196 0.1181818917
2452619.0000000000 1.6009101181 0.0058779207 3.6112149975 0.2749055286
2452620.0000000000 1.5855854231 0.0046843428 3.3540019180 0.2114373457
2452621.0000000000 1.5727090071 0.0041430197 3.5065981554 0.3627728684
2452622.0000000000 1.5889743254 0.0096832721 3.5824929136 0.2483626977
2452623.0000000000 1.5950553076 0.0100205731 3.6198098520 0.1633878409
2452624.0000000000 1.6092770784 0.0083788474 3.7562026316 0.1889950617
2452625.0000000000 1.6268890300 0.0096533956 4.2225180895 0.7567566183
2452626.0000000000 1.6205282749 0.0041705372 3.9673963469 0.4129189746
2452627.0000000000 1.6092632985 0.0054186415 3.8009596890 0.6181446885
2452628.0000000000 1.5977170448 0.0117190290 3.6213718399 1.0843395328
2452629.0000000000 1.5924260955 0.0062726793 3.5489911961 0.3520052498
2452630.0000000000 1.6091212049 0.0057228594 3.3146897370 0.3179604312
2452631.0000000000 1.5927152904 0.0075782624 3.4325072788 0.5533296361
2452632.0000000000 1.5595406982 0.0078405684 3.1064714360 0.0816289893
2452633.0000000000 1.5462198141 0.0067162010 3.1437306939 0.2599925017
2452634.0000000000 1.5021308038 0.0139622759 2.9738272794 0.2556659880
2452635.0000000000 1.4414750331 0.0108953338 2.4752363732 0.1452121739
2452636.0000000000 1.3930206455 0.0097632677 2.0810238576 0.0767591075
2452637.0000000000 1.3593308774 0.0054091559 2.0111811516 0.0810519517
2452638.0000000000 1.3356790433 0.0034493828 1.7957208172 0.0764374191
2452639.0000000000 1.3339824803 0.0020862574 1.6935493454 0.0199977322
2452640.0000000000 1.3348778368 0.0026902153 1.7612142868 0.0336200766
2452641.0000000000 1.3402866678 0.0033976957 1.7885994941 0.0353135940
2452642.0000000000 1.3420428213 0.0054045508 1.8370640831 0.0890674264
2452643.0000000000 1.3717251936 0.0091471827 2.2361069630 0.3416691117
2452644.0000000000 1.3929711620 0.0040251310 2.2986376349 0.1049757696
2452645.0000000000 1.4114999556 0.0057373739 2.4895376676 0.2200101237
2452646.0000000000 1.4501726058 0.0110726719 2.9206777832 0.2608603159
2452647.0000000000 1.4872369100 0.0086904673 3.4846177884 0.6506930598
2452648.0000000000 1.5258065109 0.0068639732 3.4173506250 0.4052692562
2452649.0000000000 1.5583127800 0.0052904549 3.6141285503 0.4280630251
2452650.0000000000 1.5710999972 0.0062013359 3.2162317112 0.1173162704
2452651.0000000000 1.5930026207 0.0092829761 3.3722535672 0.1935289200
2452652.0000000000 1.5945271782 0.0059890571 3.2883718927 0.2757290596
2452653.0000000000 1.5806060514 0.0049394375 3.1835377640 0.2091431438
2452654.0000000000 1.5558874558 0.0054149546 2.9806728575 0.2760587941
