# date[JD] transmitted_flux_171[arb.units] transmitted_flux_171_unc[arb.units] transmitted_flux_195[arb.units] transmitted_flux_195_unc[arb.units] transmitted_flux_284[arb.units] transmitted_flux_284_unc[arb.units] transmitted_flux_304[arb.units] transmitted_flux_304_unc[arb.units] transmitted_flux_sumEITBands[arb.units] transmitted_flux_sumEITBands_unc[arb.units]
2.453418000000000000e+06 1.216182243998176512e-14 3.648546731994530956e-15 1.067427573585420023e-14 3.202282720756259596e-15 2.316882360106958850e-16 6.950647080320874578e-17 2.344079593056468097e-15 7.032238779169404095e-16 2.541186600490313106e-14 7.623559801470939634e-15
2.453419000000000000e+06 1.208766255786898378e-14 3.626298767360695449e-15 1.054789235929487892e-14 3.164367707788463360e-15 2.266245398561131450e-16 6.798736195683391884e-17 2.330236770015796117e-15 6.990710310047389533e-16 2.519241622703577305e-14 7.557724868110730967e-15
2.453420000000000000e+06 1.206102015384687751e-14 3.618306046154064201e-15 1.050223247530741181e-14 3.150669742592223780e-15 2.250802023664510395e-16 6.752406070993531679e-17 2.325492133167068530e-15 6.976476399501204604e-16 2.511382496468781126e-14 7.534147489406341170e-15
2.453421000000000000e+06 1.172058662366194086e-14 3.516175987098582022e-15 9.920605837602864754e-15 2.976181751280859505e-15 2.030172613414216756e-16 6.090517840242649776e-17 2.263005488946756789e-15 6.789016466840268789e-16 2.410721521155298211e-14 7.232164563465896210e-15
2.453422000000000000e+06 1.149208495019853604e-14 3.447625485059560575e-15 9.531642158158460237e-15 2.859492647447537756e-15 1.864147386693124870e-16 5.592442160079373378e-17 2.219593668607587505e-15 6.658781005822761135e-16 2.342973551563389272e-14 7.028920654690167500e-15
2.453423000000000000e+06 1.148773435337202165e-14 3.446320306011606731e-15 9.524620073379905836e-15 2.857386022013971751e-15 1.855402544118891643e-16 5.566207632356674930e-17 2.218309320346543512e-15 6.654927961039628960e-16 2.341620400151036080e-14 7.024861200453107609e-15
2.453424000000000000e+06 1.152755627937877419e-14 3.458266883813632730e-15 9.592392387667627047e-15 2.877717716300287877e-15 1.884881685721655739e-16 5.654645057164968204e-17 2.225918161513684078e-15 6.677754484541051841e-16 2.353435499713224783e-14 7.060306499139674981e-15
2.453425000000000000e+06 1.136884616240003124e-14 3.410653848720009294e-15 9.321334145611050464e-15 2.796400243683314824e-15 1.781209067305179141e-16 5.343627201915536189e-17 2.196720200188269436e-15 6.590160600564809886e-16 2.306502141492986787e-14 6.919506424478960677e-15
2.453426000000000000e+06 1.112201314630358049e-14 3.336603943891074070e-15 8.900283456185738904e-15 2.670085036855721592e-15 1.612265993187926791e-16 4.836797979563780867e-17 2.150676406312838026e-15 6.452029218938511908e-16 2.233419960812094988e-14 6.700259882436283860e-15
2.453427000000000000e+06 1.096097685791369389e-14 3.288293057374107537e-15 8.625919197564901262e-15 2.587775759269470615e-15 1.497571705632658986e-16 4.492715116897976835e-17 2.120271063606460885e-15 6.360813190819381076e-16 2.185692428964831733e-14 6.557077286894496145e-15
2.453428000000000000e+06 1.087911696093378857e-14 3.263735088280136257e-15 8.486368692880217271e-15 2.545910607864065103e-15 1.440246011638867664e-16 4.320738034916602745e-17 2.104894050364881925e-15 6.314682151094645182e-16 2.161440430534277619e-14 6.484321291602832226e-15
2.453429000000000000e+06 1.084204100074254646e-14 3.252612300222763466e-15 8.423146920267256782e-15 2.526944076080176640e-15 1.414578277061270439e-16 4.243734831183811441e-17 2.097954069270742031e-15 6.293862207812226094e-16 2.150459981798667397e-14 6.451379945396002192e-15
2.453430000000000000e+06 1.080144963021357905e-14 3.240434889064074111e-15 8.353978048383938437e-15 2.506193414515181847e-15 1.385890637501450476e-16 4.157671912504350688e-17 2.090308313404349893e-15 6.270924940213048891e-16 2.138432505575201581e-14 6.415297516725604427e-15
2.453431000000000000e+06 1.076550771990625699e-14 3.229652315971876545e-15 8.292686142479490173e-15 2.487805842743846815e-15 1.360996352779581962e-16 4.082989058338745516e-17 2.083579805637930774e-15 6.250739416913793110e-16 2.127787330330163510e-14 6.383361990990489898e-15
2.453432000000000000e+06 1.075747273453669208e-14 3.227241820361007624e-15 8.278914030352755251e-15 2.483674209105826970e-15 1.356528265125429961e-16 4.069584795376290254e-17 2.082165593629609447e-15 6.246496780888825579e-16 2.125420518503160214e-14 6.376261555509480011e-15
2.453433000000000000e+06 1.089055243751884292e-14 3.267165731255652560e-15 8.505560659412181070e-15 2.551668197823653690e-15 1.452480682085101923e-16 4.357442046255305151e-17 2.107387112998459355e-15 6.322161338995376093e-16 2.164874827813798782e-14 6.494624483441396818e-15
2.453434000000000000e+06 1.103898736691983621e-14 3.311696210075950783e-15 8.759222616807525563e-15 2.627766785042257984e-15 1.547596659211041032e-16 4.642789977633122849e-17 2.134546658894103149e-15 6.403639976682309842e-16 2.208751630854256794e-14 6.626254892562770697e-15
2.453435000000000000e+06 1.105027273570015970e-14 3.315081820710047674e-15 8.778246630973460688e-15 2.633473989292038206e-15 1.558531312365680274e-16 4.675593937097041069e-17 2.136915399558904147e-15 6.410746198676710863e-16 2.212128789746909101e-14 6.636386369240727304e-15
