#t_obs[JD] flux[W/m^2] flux_unc[W/m^2]
2450407.000000 1361.046000 0.131000
2450408.000000 1360.979000 0.136000
2450409.000000 1360.893000 0.132000
2450410.000000 1360.631000 0.135000
2450411.000000 1360.271000 0.134000
2450412.000000 1360.051000 0.133000
2450413.000000 1360.001000 0.136000
2450414.000000 1360.006000 0.131000
2450415.000000 1360.242000 0.137000
2450416.000000 1360.471000 0.131000
2450417.000000 1360.654000 0.136000
2450418.000000 1360.815000 0.132000
2450419.000000 1360.848000 0.135000
2450420.000000 1360.805000 0.134000
2450421.000000 1360.782000 0.133000
2450422.000000 1360.791000 0.136000
2450423.000000 1360.799000 0.131000
2450424.000000 1360.828000 0.137000
2450425.000000 1360.852000 0.131000
2450426.000000 1360.863000 0.136000
2450427.000000 1360.865000 0.133000
2450428.000000 1360.908000 0.135000
2450429.000000 1360.975000 0.135000
2450430.000000 1361.034000 0.133000
2450431.000000 1361.086000 0.137000
2450432.000000 1361.125000 0.131000
2450433.000000 1361.124000 0.137000
2450434.000000 1361.121000 0.131000
2450435.000000 1361.141000 0.136000
2450436.000000 1361.169000 0.132000
2450437.000000 1361.184000 0.134000
2450438.000000 1361.189000 0.135000
2450439.000000 1361.169000 0.132000
2450440.000000 1361.094000 0.137000
2450441.000000 1361.028000 0.132000
2450442.000000 1360.995000 0.138000
2450443.000000 1360.966000 0.133000
2450444.000000 1360.935000 0.136000
2450445.000000 1360.901000 0.133000
2450446.000000 1360.874000 0.134000
2450447.000000 1360.855000 0.135000
2450448.000000 1360.848000 0.132000
2450449.000000 1360.878000 0.136000
2450450.000000 1360.905000 0.131000
2450451.000000 1360.928000 0.137000
2450452.000000 1360.945000 0.133000
2450453.000000 1360.944000 0.137000
2450454.000000 1360.933000 0.134000
2450455.000000 1360.952000 0.134000
2450456.000000 1361.001000 0.136000
2450457.000000 1361.043000 0.132000
2450458.000000 1361.071000 0.137000
2450459.000000 1361.092000 0.131000
2450460.000000 1361.071000 0.136000
2450461.000000 1361.042000 0.131000
2450462.000000 1361.021000 0.135000
2450463.000000 1361.002000 0.134000
2450464.000000 1360.991000 0.133000
2450465.000000 1360.991000 0.136000
2450466.000000 1360.984000 0.131000
2450467.000000 1360.971000 0.137000
2450468.000000 1360.952000 0.131000
2450469.000000 1360.908000 0.137000
2450470.000000 1360.853000 0.132000
2450471.000000 1360.861000 0.135000
2450472.000000 1360.898000 0.135000
2450473.000000 1360.898000 0.133000
2450474.000000 1360.849000 0.137000
2450475.000000 1360.811000 0.131000
2450476.000000 1360.831000 0.137000
2450477.000000 1360.849000 0.131000
2450478.000000 1360.881000 0.136000
2450479.000000 1360.911000 0.132000
2450480.000000 1360.884000 0.134000
2450481.000000 1360.821000 0.135000
2450482.000000 1360.808000 0.132000
2450483.000000 1360.888000 0.136000
2450484.000000 1360.954000 0.131000
2450485.000000 1360.981000 0.136000
2450486.000000 1360.999000 0.131000
2450487.000000 1360.995000 0.136000
2450488.000000 1360.982000 0.132000
2450489.000000 1360.955000 0.134000
2450490.000000 1360.918000 0.135000
2450491.000000 1360.884000 0.132000
2450492.000000 1360.863000 0.136000
2450493.000000 1360.843000 0.131000
2450494.000000 1360.848000 0.137000
2450495.000000 1360.848000 0.132000
2450496.000000 1360.852000 0.136000
2450497.000000 1360.852000 0.133000
2450498.000000 1360.838000 0.134000
2450499.000000 1360.808000 0.136000
2450500.000000 1360.791000 0.133000
2450501.000000 1360.804000 0.138000
2450502.000000 1360.821000 0.132000
2450503.000000 1360.873000 0.137000
2450504.000000 1360.926000 0.132000
2450505.000000 1360.934000 0.136000
2450506.000000 1360.921000 0.133000
2450507.000000 1360.921000 0.133000
2450508.000000 1360.931000 0.136000
2450509.000000 1360.938000 0.131000
2450510.000000 1360.936000 0.137000
2450511.000000 1360.932000 0.131000
2450512.000000 1360.923000 0.136000
2450513.000000 1360.911000 0.132000
2450514.000000 1360.931000 0.135000
2450515.000000 1360.962000 0.134000
2450516.000000 1360.973000 0.133000
2450517.000000 1360.958000 0.136000
2450518.000000 1360.941000 0.132000
2450519.000000 1360.931000 0.137000
2450520.000000 1360.919000 0.131000
2450521.000000 1360.931000 0.137000
2450522.000000 1360.942000 0.132000
2450523.000000 1360.944000 0.135000
2450524.000000 1360.939000 0.135000
2450525.000000 1360.905000 0.133000
2450526.000000 1360.829000 0.136000
2450527.000000 1360.766000 0.131000
2450528.000000 1360.764000 0.137000
2450529.000000 1360.761000 0.131000
2450530.000000 1360.772000 0.136000
2450531.000000 1360.779000 0.132000
2450532.000000 1360.799000 0.135000
2450533.000000 1360.824000 0.135000
2450534.000000 1360.849000 0.132000
2450535.000000 1360.876000 0.137000
2450536.000000 1360.876000 0.131000
2450537.000000 1360.781000 0.137000
2450538.000000 1360.675000 0.132000
2450539.000000 1360.701000 0.137000
2450540.000000 1360.757000 0.134000
2450541.000000 1360.796000 0.135000
2450542.000000 1360.821000 0.136000
2450543.000000 1360.829000 0.133000
2450544.000000 1360.808000 0.138000
