# t_obs[JD] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450243.000000 175.305334 0.586501 3455.016953 70.668570
2450244.000000 173.969341 0.463289 3362.333010 86.767008
2450245.000000 171.972394 0.610068 3213.842987 29.664497
2450246.000000 170.434065 0.590950 3183.106073 63.884534
2450247.000000 168.830537 0.513072 3081.202490 24.347955
2450248.000000 168.917630 0.305986 3083.635623 20.015202
2450249.000000 168.398213 0.334819 3000.078785 35.374423
2450250.000000 166.850713 0.413036 2904.739322 28.745234
2450251.000000 165.939198 0.403661 2835.096446 23.524035
2450252.000000 165.492827 0.406908 2840.236738 30.315432
2450253.000000 165.688022 0.240882 2870.016402 20.835610
2450254.000000 166.655462 0.325621 2953.781769 65.176169
2450255.000000 168.167357 0.404952 2985.969285 25.725530
2450256.000000 169.237213 0.262215 3032.349734 18.632225
2450257.000000 169.440748 0.243208 3040.544384 13.894131
2450258.000000 170.069660 0.485371 3103.928380 151.513042
2450259.000000 172.511196 0.876662 3214.887241 60.805597
2450260.000000 174.737708 0.308870 3292.609369 29.580339
2450261.000000 175.727668 0.238996 3401.724904 33.487090
2450262.000000 175.928876 0.401399 3456.788992 22.914845
2450263.000000 176.473356 0.245287 3504.888068 42.453772
2450264.000000 176.657903 0.361331 3510.358616 25.602447
2450265.000000 177.870065 0.331917 3617.759134 36.598014
2450266.000000 178.086016 0.355547 3682.087175 112.678343
2450267.000000 178.334813 0.337000 3623.234331 21.956908
2450268.000000 176.291450 0.592586 3507.502302 36.275915
2450269.000000 175.132804 0.399936 3438.107253 38.095874
2450270.000000 174.425567 0.492037 3381.016214 34.079654
2450271.000000 172.236043 0.274084 3294.550634 24.428013
2450272.000000 172.496066 0.379102 3505.671018 222.428317
2450273.000000 175.676606 0.887421 4745.547261 871.922622
2450274.000000 175.790785 1.855216 6972.569952 6692.636849
2450275.000000 174.685172 0.780697 5551.993125 1944.623328
2450276.000000 173.616233 0.529290 4914.967480 714.218381
2450277.000000 171.618851 0.556075 4097.872374 764.933762
2450278.000000 170.236405 0.482514 3704.880710 135.480728
2450279.000000 166.900706 0.937095 3405.744414 356.790068
2450280.000000 164.128503 0.354917 2823.541543 74.747044
2450281.000000 163.751161 0.292534 2712.331426 17.772186
2450282.000000 163.575068 0.311142 2694.691964 13.838274
2450283.000000 162.231732 0.478560 2637.678164 9.885797
2450284.000000 162.140093 0.395513 2636.684591 14.465470
2450285.000000 161.408837 0.246854 2615.302101 12.630478
2450286.000000 161.177420 0.327589 2613.259588 6.529673
2450287.000000 161.810228 0.368281 2669.657470 26.386376
2450288.000000 163.022961 0.562697 2762.662445 40.046090
2450289.000000 163.164421 0.219760 2820.135480 30.337346
2450290.000000 166.068384 1.109610 3050.564091 112.989071
2450291.000000 169.711503 0.477495 3506.174063 110.804350
2450292.000000 171.907058 0.588128 3844.489800 93.537839
2450293.000000 173.486681 0.351255 3921.173163 53.675258
2450294.000000 173.976072 0.511668 3977.742568 118.929749
2450295.000000 175.540037 0.425642 4160.361223 99.672828
2450296.000000 174.436466 0.412455 4062.813571 55.625599
2450297.000000 174.745860 0.395276 4080.738413 58.305298
2450298.000000 175.195960 0.433210 4090.134423 94.762162
2450299.000000 174.647222 0.300064 4088.007774 130.827067
2450300.000000 173.827880 0.437323 4085.322118 140.958316
2450301.000000 171.752836 0.895251 3890.099216 161.560037
2450302.000000 170.325438 0.516042 4049.910172 823.024539
2450303.000000 170.090751 0.688230 3833.187285 253.696009
2450304.000000 168.436968 0.596762 3552.842310 159.214235
2450305.000000 167.307147 0.260617 3387.002726 79.909783
2450306.000000 167.028150 0.290891 3327.152129 72.418110
2450307.000000 166.147549 0.557110 3189.229331 72.569814
2450308.000000 164.388886 0.322566 3018.310288 90.148718
2450309.000000 164.636377 0.261895 2939.235280 25.798990
2450310.000000 164.188003 0.237505 2970.083865 31.908721
2450311.000000 163.584983 0.222679 2900.773863 38.284899
2450312.000000 162.692170 0.307546 2837.013397 25.584911
2450313.000000 163.440154 0.309621 2775.311164 26.205022
2450314.000000 161.830296 0.358856 2706.726837 13.174786
2450315.000000 162.918372 0.429218 2785.458234 35.077085
2450316.000000 164.159189 0.403016 2988.184695 94.325587
2450317.000000 166.011022 0.733712 3314.875429 171.516476
2450318.000000 168.632687 0.969299 5543.686146 2054.676608
2450319.000000 171.898111 0.708069 4712.800103 232.037137
2450320.000000 174.992444 0.545582 4413.987313 83.018596
2450321.000000 176.935154 0.339356 4353.712031 192.573987
2450322.000000 177.426345 0.323573 4220.871449 136.018849
2450323.000000 177.339203 0.298955 4161.509205 46.114903
2450324.000000 178.335842 0.383373 4159.403737 164.080992
2450325.000000 177.862975 0.323131 4069.378317 32.975358
2450326.000000 178.468685 0.356462 4106.296325 27.011501
2450327.000000 179.110563 0.305297 4346.048063 392.777316
2450328.000000 178.264955 0.605845 4128.460677 109.841671
2450329.000000 176.235794 0.452800 3999.862834 36.868426
2450330.000000 173.944565 0.546430 3879.667889 63.939430
2450331.000000 171.701450 0.441572 3733.189253 142.085374
2450332.000000 170.481306 0.457343 3604.713236 67.795271
2450333.000000 167.735700 0.547416 3387.921377 75.836923
2450334.000000 166.898219 0.572331 3176.131250 114.399108
2450335.000000 163.968599 0.543069 2862.635738 64.609352
2450336.000000 161.978754 0.496240 2714.361105 34.916474
2450337.000000 160.946518 0.300984 2660.367419 8.964263
2450338.000000 159.920599 0.265446 2622.356482 6.750510
2450339.000000 160.038105 0.219932 2624.487222 11.320355
2450340.000000 159.399202 0.313390 2578.697831 9.716329
2450341.000000 159.353987 0.564484 2589.304080 26.151127
2450342.000000 160.564729 0.615587 2671.655114 43.197780
2450343.000000 162.058672 0.340663 2822.476193 39.348292
2450344.000000 163.717036 0.555921 3004.906579 45.899458
2450345.000000 164.974706 0.354817 3143.445590 40.708804
2450346.000000 166.157607 0.446811 3269.970556 30.230447
2450347.000000 166.252900 0.322943 3286.607323 20.479219
2450348.000000 167.658735 0.311175 3376.665238 33.036057
2450349.000000 168.056304 0.240535 3387.106422 16.142241
2450350.000000 167.942179 0.364210 3362.842680 9.285933
2450351.000000 168.306824 0.238006 3385.419568 12.720074
2450352.000000 169.430608 0.376807 3429.422634 12.763888
2450353.000000 169.087586 0.439006 3392.297327 44.007698
2450354.000000 167.577362 0.368866 3316.095218 13.344486
2450355.000000 167.900697 0.405655 3392.053976 55.609216
2450356.000000 167.710383 0.387871 3365.974891 24.814960
2450357.000000 166.144082 0.328340 3289.982420 19.863530
2450358.000000 165.434276 0.280912 3249.299871 18.447559
2450359.000000 165.167999 0.261655 3188.181856 31.725966
2450360.000000 163.798353 0.412198 3040.284689 36.959443
2450361.000000 162.639289 0.345609 2908.401169 45.013907
2450362.000000 160.537267 0.480704 2746.017325 44.037411
2450363.000000 159.626093 0.305292 2637.851290 24.685685
2450364.000000 158.329329 0.368520 2565.828613 12.043985
2450365.000000 157.634395 0.300170 2524.833838 18.704813
2450366.000000 157.188416 0.229841 2486.742715 12.217318
2450367.000000 156.732424 0.216306 2462.847605 5.231213
2450368.000000 155.997588 0.346364 2452.640006 10.554928
2450369.000000 156.448914 0.267282 2498.613761 10.909988
2450370.000000 156.195444 0.471821 2555.384357 49.518543
2450371.000000 159.026531 0.476473 2740.880078 46.280081
2450372.000000 160.467435 0.358595 2902.789365 32.022449
2450373.000000 160.593201 0.326074 2960.048589 23.277990
2450374.000000 161.427870 0.253799 2993.347471 5.371180
2450375.000000 162.739231 0.562968 3059.073121 34.040655
2450376.000000 163.855599 0.417325 3147.732563 97.811708
2450377.000000 165.243373 0.384788 3180.271600 28.712577
2450378.000000 165.174142 0.709329 3117.081947 55.322564
2450379.000000 164.075272 0.276215 3043.897192 7.619374
2450380.000000 164.815602 0.375620 3061.290535 11.410713
2450381.000000 165.296130 0.323004 3058.296110 20.566781
2450382.000000 164.886874 0.268015 3053.044078 8.225750
2450383.000000 164.487910 0.358676 3051.394474 27.537056
2450384.000000 164.976469 0.349721 3062.781647 25.997867
2450385.000000 163.230220 0.326621 2977.499064 18.164447
2450386.000000 162.549115 0.267348 2927.398712 11.947217
2450387.000000 161.821483 0.226319 2883.575552 16.569631
2450388.000000 160.166591 0.482271 2752.184212 51.226281
2450389.000000 158.863569 0.246289 2617.156191 24.881846
2450390.000000 157.944642 0.228861 2533.724965 15.872457
2450391.000000 157.574533 0.316884 2503.959735 7.481351
2450392.000000 157.150732 0.176881 2475.996542 7.121110
2450393.000000 156.064228 0.403805 2436.615693 18.302979
2450394.000000 156.465542 0.745486 2444.566846 37.216902
2450395.000000 157.668943 0.203011 2496.270452 9.139453
2450396.000000 158.487831 0.270603 2546.306110 11.038703
2450397.000000 158.437046 0.278975 2623.285036 143.094690
2450398.000000 159.618684 0.691373 2719.216018 58.505390
2450399.000000 162.603722 0.656721 2896.901042 76.397496
2450400.000000 165.280010 0.727177 3085.954786 42.602238
2450401.000000 167.425462 0.487512 3239.278067 98.174895
2450402.000000 169.751666 0.579127 3330.746345 38.055283
2450403.000000 170.856673 0.330741 3367.309436 22.280497
2450404.000000 171.961348 0.269782 3427.908299 40.444472
2450405.000000 172.733680 0.321909 3430.312409 22.713807
2450406.000000 172.578229 0.424818 3401.422587 17.388654
2450407.000000 172.011947 0.241076 3384.472153 21.926856
2450408.000000 171.840826 0.236326 3382.701189 14.198993
2450409.000000 170.768310 0.305115 3385.361944 41.743050
2450410.000000 171.646585 0.506427 3780.991741 180.401811
2450411.000000 171.942745 0.436397 4817.785422 333.558672
2450412.000000 173.137472 0.671472 5639.411512 898.031154
2450413.000000 174.303989 0.779405 6079.838724 1326.162772
2450414.000000 173.592053 0.489651 5168.283334 396.104925
2450415.000000 172.983462 0.285903 5478.538155 458.582289
2450416.000000 171.707150 0.872832 5433.828854 441.397619
2450417.000000 167.622458 0.972859 4618.319845 1333.157642
2450418.000000 166.102578 0.470357 4970.780320 1823.549448
2450419.000000 166.174025 0.299937 4858.472221 923.641927
2450420.000000 165.404396 0.413939 4223.409732 397.645093
2450421.000000 163.005023 0.793614 3462.546968 351.376779
2450422.000000 160.335293 0.593188 2838.901344 128.704786
2450423.000000 157.612824 0.429881 2575.685747 31.415193
2450424.000000 157.098108 0.286844 2566.598261 9.839067
2450425.000000 156.927813 0.238498 2606.337062 23.542337
2450426.000000 159.299329 0.913157 2785.055190 75.776890
2450427.000000 163.408410 0.942228 3204.838247 201.161941
2450428.000000 167.298923 0.756323 3488.816945 111.863688
2450429.000000 171.512650 1.029932 3941.753443 224.502729
2450430.000000 175.751473 0.652483 4329.310391 184.661458
2450431.000000 178.519675 0.423467 4546.223839 164.578408
2450432.000000 180.187681 0.425046 4451.867995 60.406188
2450433.000000 182.846672 1.134397 4690.967250 219.847149
2450434.000000 187.647142 0.689103 5238.958738 312.682633
2450435.000000 188.534644 0.385383 4994.538146 80.327046
2450436.000000 188.710134 0.717478 5059.381496 122.807295
2450437.000000 187.333044 0.750269 5203.594038 678.706348
2450438.000000 183.751208 0.712761 4522.641139 113.827381
2450439.000000 183.060230 0.298230 4471.378687 45.535636
2450440.000000 180.918501 0.764661 4288.697630 77.972323
2450441.000000 177.645720 0.886382 4146.587709 151.368552
2450442.000000 174.547135 0.457198 4043.813920 431.598351
2450443.000000 171.851109 1.052037 3611.427054 131.786729
2450444.000000 167.098681 0.799487 3234.190302 72.463001
2450445.000000 164.690849 0.247916 3069.903190 18.568909
2450446.000000 164.526593 0.241912 3026.028474 18.501714
2450447.000000 164.035295 0.349889 3069.972927 15.516760
2450448.000000 163.099074 0.208092 3052.808762 31.536931
2450449.000000 162.779122 0.316525 2949.930720 35.516993
2450450.000000 161.220863 0.291450 2852.023335 22.051356
2450451.000000 160.847375 0.438988 2838.440737 15.999505
2450452.000000 162.555665 0.517576 2911.922542 38.775459
2450453.000000 164.306030 0.242278 3039.724802 36.197149
2450454.000000 166.065272 0.406449 3221.059990 78.580613
2450455.000000 166.185716 0.359223 3259.682939 10.894483
2450456.000000 166.532639 0.299692 3297.392970 15.295617
2450457.000000 167.567592 0.355780 3335.514458 22.532290
2450458.000000 169.161440 0.265769 3399.523891 15.880909
2450459.000000 169.685096 0.281791 3459.473155 28.581181
2450460.000000 170.068256 0.356154 3477.557948 12.103804
2450461.000000 170.335259 0.202584 3488.983015 15.212877
2450462.000000 170.540745 0.523806 3471.242340 19.280200
2450463.000000 170.832183 0.288562 3475.490182 19.629631
2450464.000000 171.317990 0.314482 3548.069453 21.232949
2450465.000000 170.162825 0.268305 3435.319137 38.276114
2450466.000000 168.723007 0.550129 3326.096290 30.370239
2450467.000000 168.375373 0.247126 3307.469805 18.211845
2450468.000000 168.401036 0.299983 3260.230024 29.962208
2450469.000000 167.179059 0.661344 3187.996411 120.789222
2450470.000000 165.820297 0.442300 3083.604388 34.067444
2450471.000000 163.442697 0.595276 3009.098709 43.762530
2450472.000000 162.198519 0.389489 2948.720901 20.706177
2450473.000000 161.938593 0.341184 2912.778218 28.747307
2450474.000000 161.155575 0.265111 2885.446159 11.097645
2450475.000000 161.808490 0.418438 2929.508782 23.223721
2450476.000000 161.184366 0.328007 2929.121112 29.514002
2450477.000000 161.328448 0.310684 2909.455769 9.058481
2450478.000000 161.744567 0.243909 3007.652468 122.943830
