# t_obs[JD] heliocentric_dist[km] firstOrderFlux[counts/s] firstOrderFluxUnc[counts/s] centralOrderFlux[counts/s] centralOrderFluxUnc[counts/s]
2450298.000000 150410000.000000 174.250000 0.430870 4068.050000 94.250500
2450299.000000 150405000.000000 173.710000 0.298454 4066.070000 130.125000
2450300.000000 150392000.000000 172.910000 0.435014 4063.750000 140.214000
2450301.000000 150362000.000000 170.880000 0.890701 3870.330000 160.739000
2450302.000000 150353000.000000 169.470000 0.513450 4029.570000 818.891000
2450303.000000 150341000.000000 169.250000 0.684828 3814.240000 252.442000
2450304.000000 150327000.000000 167.620000 0.593868 3535.610000 158.442000
2450305.000000 150296000.000000 166.530000 0.259407 3371.270000 79.538600
2450306.000000 150280000.000000 166.270000 0.289571 3312.050000 72.089400
2450307.000000 150274000.000000 165.400000 0.554603 3174.880000 72.243300
2450308.000000 150232000.000000 163.695000 0.321205 3005.570000 89.768200
2450309.000000 150215000.000000 163.960000 0.260819 2927.160000 25.693000
2450310.000000 150209000.000000 163.520000 0.236538 2958.000000 31.778900
2450311.000000 150167000.000000 162.965000 0.221836 2889.780000 38.139800
2450312.000000 150149000.000000 162.095000 0.306417 2826.600000 25.491000
2450313.000000 150140000.000000 162.850000 0.308503 2765.290000 26.110400
2450314.000000 150099000.000000 161.290000 0.357658 2697.690000 13.130800
2450315.000000 150080000.000000 162.395000 0.427839 2776.510000 34.964400
2450316.000000 150045000.000000 163.670000 0.401815 2979.280000 94.044500
2450317.000000 150019000.000000 165.545000 0.731653 3305.570000 171.035000
2450318.000000 150005000.000000 168.175000 0.966668 5528.640000 2049.100000
2450319.000000 149967000.000000 171.475000 0.706326 4701.200000 231.466000
2450320.000000 149947000.000000 174.585000 0.544312 4403.710000 82.825300
2450321.000000 149903000.000000 176.575000 0.338665 4344.850000 192.182000
2450322.000000 149882000.000000 177.090000 0.322960 4212.870000 135.761000
2450323.000000 149838000.000000 177.055000 0.298476 4154.840000 46.041000
2450324.000000 149817000.000000 178.075000 0.382812 4153.320000 163.841000
2450325.000000 149773000.000000 177.655000 0.322754 4064.620000 32.936800
2450326.000000 149752000.000000 178.285000 0.356095 4102.070000 26.983700
2450327.000000 149707000.000000 178.980000 0.305075 4342.880000 392.491000
2450328.000000 149686000.000000 178.160000 0.605488 4126.030000 109.777000
2450329.000000 149641000.000000 176.185000 0.452670 3998.710000 36.857800
2450330.000000 149619000.000000 173.920000 0.546353 3879.120000 63.930400
2450331.000000 149573000.000000 171.730000 0.441646 3733.810000 142.109000
2450332.000000 149542000.000000 170.545000 0.457514 3606.060000 67.820600
2450333.000000 149496000.000000 167.850000 0.547790 3390.230000 75.888600
2450334.000000 149453000.000000 167.060000 0.572886 3179.210000 114.510000
2450335.000000 149428000.000000 164.155000 0.543686 2865.890000 64.682800
2450336.000000 149380000.000000 162.215000 0.496964 2718.320000 34.967400
2450337.000000 149358000.000000 161.205000 0.301467 2664.640000 8.978660
2450338.000000 149309000.000000 160.230000 0.265959 2627.430000 6.763570
2450339.000000 149265000.000000 160.395000 0.220423 2630.340000 11.345600
2450340.000000 149232000.000000 159.790000 0.314158 2585.020000 9.740150
2450341.000000 149185000.000000 159.795000 0.566047 2596.470000 26.223500
2450342.000000 149161000.000000 161.035000 0.617390 2679.480000 43.324300
2450343.000000 149109000.000000 162.590000 0.341780 2831.730000 39.477300
2450344.000000 149058000.000000 164.310000 0.557935 3015.790000 46.065700
2450345.000000 149033000.000000 165.600000 0.356162 3155.360000 40.863100
2450346.000000 148986000.000000 166.840000 0.448646 3283.400000 30.354600
2450347.000000 148942000.000000 166.985000 0.324365 3301.080000 20.569400
2450348.000000 148904000.000000 168.440000 0.312625 3392.400000 33.190000
2450349.000000 148855000.000000 168.895000 0.241736 3404.010000 16.222800
2450350.000000 148820000.000000 168.820000 0.366114 3380.420000 9.334470
2450351.000000 148773000.000000 169.240000 0.239326 3404.190000 12.790600
2450352.000000 148725000.000000 170.425000 0.379018 3449.550000 12.838800
2450353.000000 148690000.000000 170.120000 0.441686 3413.010000 44.276400
2450354.000000 148642000.000000 168.655000 0.371238 3337.420000 13.430300
2450355.000000 148594000.000000 169.035000 0.408396 3414.970000 55.984900
2450356.000000 148553000.000000 168.890000 0.390599 3389.650000 24.989500
2450357.000000 148511000.000000 167.360000 0.330742 3314.060000 20.008900
2450358.000000 148462000.000000 166.700000 0.283061 3274.160000 18.588700
2450359.000000 148410000.000000 166.490000 0.263749 3213.700000 31.979900
2450360.000000 148378000.000000 165.145000 0.415587 3065.280000 37.263300
2450361.000000 148325000.000000 164.035000 0.348575 2933.360000 45.400200
2450362.000000 148270000.000000 161.975000 0.485009 2770.610000 44.431800
2450363.000000 148243000.000000 161.085000 0.308082 2661.960000 24.911300
2450364.000000 148184000.000000 159.840000 0.372036 2590.310000 12.158900
2450365.000000 148136000.000000 159.190000 0.303132 2549.750000 18.889400
2450366.000000 148089000.000000 158.790000 0.232183 2512.080000 12.341800
2450367.000000 148051000.000000 158.370000 0.218566 2488.580000 5.285870
2450368.000000 147997000.000000 157.685000 0.350110 2479.170000 10.669100
2450369.000000 147942000.000000 158.200000 0.270274 2526.580000 11.032100
2450370.000000 147908000.000000 157.980000 0.477212 2584.580000 50.084300
2450371.000000 147856000.000000 160.900000 0.482087 2773.170000 46.825300
2450372.000000 147804000.000000 162.415000 0.362947 2938.020000 32.411100
2450373.000000 147747000.000000 162.605000 0.330159 2997.130000 23.569600
2450374.000000 147720000.000000 163.480000 0.257025 3031.400000 5.439460
2450375.000000 147660000.000000 164.875000 0.570356 3099.220000 34.487400
2450376.000000 147612000.000000 166.060000 0.422940 3190.080000 99.127600
2450377.000000 147556000.000000 167.530000 0.390113 3224.280000 29.109900
2450378.000000 147525000.000000 167.495000 0.719295 3160.880000 56.099900
2450379.000000 147468000.000000 166.445000 0.280204 3087.860000 7.729420
2450380.000000 147416000.000000 167.255000 0.381179 3106.600000 11.579600
2450381.000000 147370000.000000 167.795000 0.327887 3104.530000 20.877700
2450382.000000 147330000.000000 167.425000 0.272140 3100.040000 8.352370
2450383.000000 147277000.000000 167.080000 0.364328 3099.480000 27.971000
2450384.000000 147221000.000000 167.640000 0.355367 3112.230000 26.417600
2450385.000000 147186000.000000 165.905000 0.331973 3026.290000 18.462100
2450386.000000 147135000.000000 165.270000 0.271823 2976.400000 12.147200
2450387.000000 147086000.000000 164.585000 0.230184 2932.820000 16.852600
2450388.000000 147029000.000000 162.965000 0.490697 2800.270000 52.121300
2450389.000000 147001000.000000 161.670000 0.250640 2663.390000 25.321400
2450390.000000 146946000.000000 160.795000 0.232991 2579.450000 16.158900
2450391.000000 146894000.000000 160.475000 0.322716 2550.050000 7.619060
2450392.000000 146865000.000000 160.075000 0.180172 2522.070000 7.253620
2450393.000000 146808000.000000 159.030000 0.411478 2482.920000 18.650800
2450394.000000 146761000.000000 159.490000 0.759896 2491.820000 37.936300
2450395.000000 146726000.000000 160.755000 0.206984 2545.130000 9.318340
2450396.000000 146676000.000000 161.645000 0.275993 2597.030000 11.258600
2450397.000000 146629000.000000 161.645000 0.284624 2676.400000 145.992000
2450398.000000 146598000.000000 162.885000 0.705521 2774.860000 59.702600
2450399.000000 146546000.000000 165.990000 0.670397 2957.230000 77.988500
2450400.000000 146500000.000000 168.775000 0.742554 3151.210000 43.503100
2450401.000000 146475000.000000 170.995000 0.497906 3308.340000 100.268000
2450402.000000 146425000.000000 173.430000 0.591676 3402.920000 38.879900
2450403.000000 146378000.000000 174.615000 0.338016 3441.380000 22.770600
2450404.000000 146348000.000000 175.780000 0.275773 3504.030000 41.342600
2450405.000000 146302000.000000 176.625000 0.329161 3507.590000 23.225500
2450406.000000 146278000.000000 176.495000 0.434459 3478.620000 17.783300
2450407.000000 146233000.000000 175.970000 0.246623 3462.350000 22.431400
2450408.000000 146208000.000000 175.825000 0.241805 3461.130000 14.528200
2450409.000000 146160000.000000 174.785000 0.312292 3464.990000 42.724900
2450410.000000 146130000.000000 175.720000 0.518445 3870.720000 184.683000
2450411.000000 146087000.000000 176.075000 0.446884 4933.570000 341.575000
2450412.000000 146061000.000000 177.330000 0.687732 5775.970000 919.777000
2450413.000000 146024000.000000 178.570000 0.798480 6228.640000 1358.620000
2450414.000000 146004000.000000 177.865000 0.501704 5295.500000 405.855000
2450415.000000 145964000.000000 177.290000 0.293021 5614.930000 469.999000
2450416.000000 145949000.000000 176.000000 0.894653 5569.680000 452.433000
2450417.000000 145905000.000000 171.865000 0.997482 4735.210000 1366.900000
2450418.000000 145885000.000000 170.330000 0.482328 5097.290000 1869.960000
2450419.000000 145845000.000000 170.450000 0.307655 4983.490000 947.409000
2450420.000000 145824000.000000 169.685000 0.424652 4332.710000 407.936000
2450421.000000 145814000.000000 167.235000 0.814208 3552.400000 360.495000
2450422.000000 145775000.000000 164.540000 0.608744 2913.350000 132.080000
2450423.000000 145758000.000000 161.765000 0.441205 2643.540000 32.242800
2450424.000000 145746000.000000 161.250000 0.294425 2634.430000 10.099100
2450425.000000 145710000.000000 161.115000 0.244862 2675.880000 24.170500
