# t_obs[JD] wavelength[angstrom] pinholes[1ifYes]
2451592.045012 284.000000 0.000000
2451592.050003 195.000000 0.000000
2451592.054112 304.000000 0.000000
2451592.290929 171.000000 0.000000
2451592.294972 284.000000 0.000000
2451592.299982 195.000000 0.000000
2451592.304089 304.000000 0.000000
2451592.540986 171.000000 0.000000
2451592.544947 284.000000 1.000000
2451592.549944 195.000000 0.000000
2451592.790994 171.000000 0.000000
2451592.795037 284.000000 1.000000
2451592.800044 195.000000 0.000000
2451592.804151 304.000000 0.000000
2451593.040572 171.000000 0.000000
2451593.044621 284.000000 1.000000
2451593.049608 195.000000 0.000000
2451593.053727 304.000000 0.000000
2451593.291788 171.000000 0.000000
2451593.295827 284.000000 1.000000
2451593.300776 195.000000 0.000000
2451593.304880 304.000000 0.000000
2451593.541299 171.000000 0.000000
2451593.545352 284.000000 1.000000
2451593.550348 195.000000 0.000000
2451593.554469 304.000000 0.000000
2451593.791323 171.000000 0.000000
2451593.795735 284.000000 1.000000
2451593.800729 195.000000 0.000000
2451593.804829 304.000000 0.000000
2451594.040955 171.000000 0.000000
2451594.044991 284.000000 1.000000
2451594.049967 195.000000 0.000000
2451594.054067 304.000000 0.000000
2451594.291085 171.000000 0.000000
2451594.295134 284.000000 1.000000
2451594.304200 304.000000 0.000000
2451594.540979 171.000000 0.000000
2451594.545014 284.000000 1.000000
2451594.550002 195.000000 0.000000
2451594.554097 304.000000 0.000000
2451594.790947 171.000000 0.000000
2451594.794981 284.000000 1.000000
2451594.804104 304.000000 0.000000
2451595.040644 171.000000 0.000000
2451595.044684 284.000000 1.000000
2451595.049688 195.000000 0.000000
2451595.053782 304.000000 0.000000
2451595.290670 171.000000 0.000000
2451595.294717 284.000000 1.000000
2451595.299710 195.000000 0.000000
2451595.303809 304.000000 0.000000
2451595.540548 171.000000 0.000000
2451595.544553 284.000000 1.000000
2451595.549556 195.000000 0.000000
2451595.553654 304.000000 0.000000
2451595.790564 171.000000 0.000000
2451595.794602 284.000000 1.000000
2451595.799602 195.000000 0.000000
2451595.803708 304.000000 0.000000
2451596.040601 171.000000 0.000000
2451596.044635 284.000000 1.000000
2451596.049630 195.000000 0.000000
2451596.053730 304.000000 0.000000
2451596.290502 171.000000 0.000000
2451596.294562 284.000000 1.000000
2451596.299717 195.000000 0.000000
2451596.303816 304.000000 0.000000
2451596.540699 171.000000 0.000000
2451596.544749 284.000000 1.000000
2451596.549654 195.000000 0.000000
2451596.553738 304.000000 0.000000
2451596.790572 171.000000 0.000000
2451596.794603 284.000000 1.000000
2451596.799589 195.000000 0.000000
2451596.803689 304.000000 0.000000
2451597.040584 171.000000 0.000000
2451597.044619 284.000000 1.000000
2451597.049623 195.000000 0.000000
2451597.053719 304.000000 0.000000
2451597.291720 171.000000 0.000000
2451597.295734 284.000000 1.000000
2451597.304786 304.000000 0.000000
2451597.541057 171.000000 0.000000
2451597.545036 284.000000 1.000000
2451597.550028 195.000000 0.000000
2451597.554136 304.000000 1.000000
2451597.790966 171.000000 0.000000
2451597.799995 195.000000 0.000000
2451597.804112 304.000000 1.000000
2451598.040973 171.000000 0.000000
2451598.044974 284.000000 1.000000
2451598.054081 304.000000 1.000000
2451598.291038 171.000000 0.000000
2451598.295081 284.000000 1.000000
2451598.300072 195.000000 0.000000
2451598.304175 304.000000 1.000000
2451598.540965 171.000000 0.000000
2451598.545005 284.000000 1.000000
2451598.549968 195.000000 0.000000
2451598.554072 304.000000 1.000000
2451598.791069 171.000000 0.000000
2451598.794937 284.000000 1.000000
2451598.799937 195.000000 0.000000
2451598.804052 304.000000 0.000000
2451599.040862 171.000000 0.000000
2451599.044901 284.000000 1.000000
2451599.049890 195.000000 0.000000
2451599.053996 304.000000 0.000000
2451599.290905 171.000000 0.000000
2451599.295084 284.000000 1.000000
2451599.300038 195.000000 0.000000
2451599.304148 304.000000 1.000000
2451599.540541 171.000000 0.000000
2451599.544638 284.000000 1.000000
2451599.549760 195.000000 0.000000
2451599.553862 304.000000 0.000000
2451599.790274 171.000000 0.000000
2451599.799322 195.000000 0.000000
2451599.803426 304.000000 1.000000
2451600.040117 171.000000 0.000000
2451600.044165 284.000000 1.000000
2451600.049170 195.000000 0.000000
2451600.053278 304.000000 0.000000
2451600.291802 171.000000 0.000000
2451600.295843 284.000000 1.000000
2451600.300834 195.000000 0.000000
2451600.304923 304.000000 1.000000
2451600.541693 171.000000 0.000000
2451600.545716 284.000000 1.000000
2451600.550724 195.000000 0.000000
2451600.554844 304.000000 1.000000
2451600.791651 171.000000 0.000000
2451600.800701 195.000000 0.000000
2451600.804818 304.000000 1.000000
2451601.050676 195.000000 0.000000
2451601.054790 304.000000 1.000000
2451601.291766 171.000000 0.000000
2451601.300802 195.000000 0.000000
2451601.304906 304.000000 1.000000
2451601.541644 171.000000 0.000000
2451601.545700 284.000000 0.000000
2451601.554939 304.000000 1.000000
2451601.795426 284.000000 0.000000
2451601.800432 195.000000 0.000000
2451601.804537 304.000000 0.000000
2451602.041281 171.000000 0.000000
2451602.045320 284.000000 0.000000
2451602.050328 195.000000 0.000000
2451602.054436 304.000000 0.000000
