# t_obs[JD] solar_distance[m] wavelength[angstrom] unnorm_flux[DN/s] unnorm_flux_unc[DN/s]
2458508.549080 146028314027.000000 195.000000 31394706.804265 94493.237593
2458509.039584 146036511804.000000 171.000000 73061968.603492 94452.357733
2458509.043705 146036631996.000000 284.000000 1736909.659011 93813.255282
2458509.049004 146036631996.000000 195.000000 32273656.445777 94497.014565
2458509.053090 146036743221.000000 304.000000 11074263.021224 94355.716121
2458509.545945 146045086076.000000 284.000000 1779700.515347 93812.973602
2458509.550724 146045086076.000000 195.000000 32765582.555656 94503.598488
2458509.554782 146045205253.000000 304.000000 11127860.237533 94370.981258
2458510.045413 146053694049.000000 284.000000 1736117.155467 93832.278715
2458510.050703 146053694049.000000 195.000000 32936598.049662 94427.072577
2458510.054757 146053814648.000000 304.000000 11545650.219290 94377.440913
2458510.541246 146062322592.000000 171.000000 73012873.927824 94366.392013
2458510.545359 146062444130.000000 284.000000 1758509.777993 93805.325545
2458510.550677 146062444130.000000 195.000000 33571069.663812 94431.638774
2458510.554730 146062567844.000000 304.000000 10951611.959978 94470.086006
2458511.041429 146071216886.000000 171.000000 73007219.711504 94343.606768
2458511.045529 146071339851.000000 284.000000 1748062.611715 93784.890698
2458511.050838 146071339851.000000 195.000000 32676592.115334 94423.680359
2458511.054893 146071466547.000000 304.000000 10960369.621894 94477.617186
2458511.541331 146080250065.000000 171.000000 73586602.559516 94352.334910
2458511.545440 146080376001.000000 284.000000 1798195.181754 93861.891385
2458511.550724 146080376001.000000 195.000000 33285263.161291 94409.190594
2458511.554806 146080505568.000000 304.000000 11008009.427739 94473.186942
2458512.041491 146089432084.000000 171.000000 74188056.294620 94354.220758
2458512.045598 146089560905.000000 284.000000 1790829.308686 93890.027351
2458512.050912 146089560905.000000 195.000000 33307959.554032 94451.468223
2458512.054976 146089691900.000000 304.000000 11185411.671605 94479.843753
2458512.545995 146098884778.000000 284.000000 1831773.183446 93906.687663
2458512.555353 146099018596.000000 304.000000 10962030.745418 94594.573456
2458513.041484 146108225430.000000 171.000000 74440953.471095 94339.933064
2458513.045585 146108354813.000000 284.000000 1824752.145433 93932.275812
2458513.050886 146108354813.000000 195.000000 34047146.160372 94416.452908
2458513.054939 146108491415.000000 304.000000 10866273.503791 94601.735705
2458513.541555 146117835278.000000 171.000000 76425795.364084 94315.308890
2458513.545657 146117972478.000000 284.000000 1804088.500077 93930.447616
2458513.550975 146117972478.000000 195.000000 33818363.223627 94460.854438
2458513.555032 146118106750.000000 304.000000 11037705.201815 94611.572544
2458514.041503 146127598422.000000 171.000000 76554826.959692 94336.217451
2458514.045616 146127733246.000000 284.000000 1871071.280983 94011.788994
2458514.050913 146127733246.000000 195.000000 34218542.544856 94505.941360
2458514.054967 146127870243.000000 304.000000 10941953.016367 94607.012764
2458514.541266 146137497426.000000 171.000000 79430541.869147 94404.723613
2458514.550552 146137641083.000000 195.000000 34934664.495204 94537.683611
2458514.554544 146137775631.000000 304.000000 11099610.743225 94663.082358
2458515.041391 146147542765.000000 171.000000 78783960.809086 94418.259087
2458515.045418 146147683932.000000 284.000000 1811406.751897 94029.677007
2458515.050651 146147683932.000000 195.000000 34100001.753111 94584.779259
2458515.054659 146147822008.000000 304.000000 11159453.547173 94808.071258
2458515.541514 146157732803.000000 171.000000 78513928.114112 94488.502650
2458515.545549 146157877434.000000 284.000000 1835823.395738 94081.411995
2458515.550795 146157877434.000000 195.000000 33993518.392061 94657.495226
2458515.554788 146158018257.000000 304.000000 10981809.985530 94840.801251
2458516.041357 146168064485.000000 171.000000 77216394.443677 94491.865357
2458516.045389 146168212489.000000 284.000000 1690213.128293 94178.492167
2458516.050621 146168212489.000000 195.000000 33006953.018129 94654.564048
2458516.054614 146168356728.000000 304.000000 10930836.299150 94919.515422
2458516.541732 146178546081.000000 171.000000 77040916.319790 94588.449567
2458516.545765 146178691500.000000 284.000000 1629541.726210 94176.894242
2458516.551016 146178691500.000000 195.000000 32844232.533067 94698.093817
2458516.555008 146178839088.000000 304.000000 10849937.142440 94982.395130
2458517.041867 146189167877.000000 171.000000 75977495.272657 94623.465126
2458517.045918 146189316600.000000 284.000000 1591216.031880 94222.973156
2458517.051152 146189316600.000000 195.000000 31838845.679392 94730.892315
2458517.055143 146189462021.000000 304.000000 10806964.512427 95057.370820
2458517.541334 146199931086.000000 171.000000 76114417.784254 94632.313850
2458517.545353 146200083089.000000 284.000000 1594764.230477 94247.151288
2458517.550590 146200083089.000000 195.000000 31564133.388815 94692.784823
2458517.554595 146200231739.000000 304.000000 10747203.401611 95101.937603
2458518.041346 146210841105.000000 171.000000 75482310.837766 94643.959701
2458518.050611 146210990819.000000 195.000000 31006077.474082 94750.743159
2458518.054600 146211142701.000000 304.000000 10628917.256068 95151.859026
2458518.541621 146221880873.000000 171.000000 76063953.561309 94729.465587
2458518.545662 146222039536.000000 284.000000 1549613.098038 94426.533950
2458518.550892 146222039536.000000 195.000000 30953874.125777 94785.332027
2458518.554886 146222194675.000000 304.000000 10804089.798818 95363.309986
2458519.041388 146233071720.000000 171.000000 74465551.990964 94722.327043
2458519.045422 146233233640.000000 284.000000 1485956.266373 94551.922165
2458519.050629 146233233640.000000 195.000000 30139662.732138 94793.203491
2458519.054619 146233386413.000000 304.000000 10576405.757434 95448.818604
2458519.541346 146244400517.000000 171.000000 75087176.800545 94703.501147
2458519.545373 146244559918.000000 284.000000 1494026.479444 94637.543402
2458519.550607 146244559918.000000 195.000000 30080091.706445 94847.237396
2458519.554601 146244721612.000000 304.000000 10683387.192068 95571.389143
