# t_obs[JD] flux_mean[DN/s] flux_stdev[DN/s]
2451684.591033 846.931684 3.091289
2451684.607601 846.921203 3.580834
2451691.591292 846.839136 3.664708
2451691.607958 846.754057 4.671166
2451698.591627 847.050264 18.421516
2451698.608339 846.964384 4.002362
2451712.236217 848.732648 12.372772
2451712.239925 848.625819 3.375838
2451712.243624 848.814815 10.098586
2451712.248486 843.625886 77.082156
2451715.842982 979.529209 47.265238
2451715.846454 921.797035 19.961031
2451715.849926 899.257462 12.587762
2451715.853398 888.765415 6.506720
2451715.863815 912.078938 93.655333
2451715.874233 885.575497 37.929024
2451715.884657 877.943188 87.727537
2451715.895065 869.622700 52.863633
2451715.915899 864.246517 42.368358
2451715.936732 861.393833 33.296321
2451715.957565 859.684658 30.906383
2451715.978400 858.277607 40.586308
2451716.190858 848.629770 3.865420
2451716.194623 848.651072 10.681414
2451716.198429 848.803055 20.111332
2451716.203361 849.320544 26.635094
2451719.619803 847.025594 3.860721
2451719.634644 847.107803 20.575609
2451726.591016 847.331855 2.959569
2451726.607581 847.327647 7.294078
2451733.591043 846.657722 6.805782
2451733.607579 846.714931 13.353775
2451740.677042 894.547210 303.073052
2451740.702261 913.831549 360.453124
2451747.591193 843.176746 5.635153
2451747.607484 843.185654 5.531317
2451754.591458 843.267395 3.305515
2451754.607899 843.256656 3.050609
2451761.591823 843.330507 4.223997
2451761.608316 843.326324 10.645150
2451768.591505 843.450433 3.244163
2451768.607961 843.514283 29.841718
2451775.591957 843.470610 3.466054
2451775.608226 842.647317 26.657217
2451782.629987 842.559352 28.032638
2451782.644609 843.438389 4.120104
2451789.591674 843.706807 7.673735
2451789.608362 843.604850 5.031049
2451796.288083 843.699205 4.243703
2451796.291911 842.887599 27.797801
2451796.295679 844.147942 24.217436
2451796.300650 845.108302 42.184551
2451796.403662 844.978410 2.908989
2451799.133936 986.077621 51.871788
2451799.137408 919.408775 61.794665
2451799.140879 897.897713 11.756689
2451799.144351 885.901905 7.640575
2451799.154768 920.707230 83.295988
2451799.165185 884.838696 73.157584
2451799.175602 871.724514 44.216589
2451799.187384 862.158527 65.149364
2451799.208042 859.925148 23.420536
2451799.228708 856.686897 33.900947
2451799.249503 854.790409 37.101355
2451799.270339 853.438740 25.267484
2451799.366667 845.512741 4.970818
2451799.370505 845.502453 3.386263
2451799.374357 845.896147 22.324681
2451799.379335 846.328025 30.681224
2451803.591789 844.451815 57.813340
2451803.608297 844.195576 3.707305
2451810.591821 844.222205 2.814813
2451810.608337 844.218556 4.397136
2451817.591820 844.476353 3.815947
