# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452227.794998 14526439.547809 3851779.837395 0 0
2452229.044984 13782823.395188 3679474.890624 0 0
2452229.295033 14614870.856192 3871364.589339 0 0
2452229.545012 14639160.547453 3876252.415839 0 0
2452230.044988 14356000.265927 3810885.289072 0 0
2452230.295538 14304179.120692 3798990.082174 0 0
2452230.545043 14120166.368855 3755914.336455 0 0
2452230.795065 14761203.333558 3904128.211871 0 0
2452231.045063 14043752.281893 3738510.485161 0 0
2452231.295038 13769785.925778 3675629.740160 0 0
2452231.545043 13869983.357717 3698094.916271 0 0
2452231.795071 13529474.213719 3620102.643474 0 0
2452232.045042 13640054.626720 3645592.667699 0 0
2452232.295041 13347962.988246 3578866.592139 0 0
2452243.045054 13862325.116601 3708943.132812 0 0
2452243.295055 13577936.674635 3643975.146792 0 0
2452243.572817 13504922.117927 3627581.525598 0 0
2452243.798203 13779638.763955 3691517.215932 0 0
2452244.045039 13754380.085127 3686343.428898 0 0
2452244.295054 13560928.197128 3642378.779003 0 0
2452244.545070 14048129.597302 3755197.724287 0 0
2452244.795067 13971337.451722 3738121.934965 0 0
2452245.045055 13847720.597887 3710225.101002 0 0
2452245.295049 14257796.788781 3806025.353993 0 0
2452246.045042 13885607.234044 3721761.156628 0 0
2452246.295062 13929011.948231 3732583.466995 0 0
2452246.545062 13901114.033452 3726742.857112 0 0
2452247.045078 14039876.594230 3760522.792147 0 0
2452247.295056 14009887.059149 3754367.451680 0 0
2452247.545042 14037068.073631 3761388.850930 0 0
2452247.795054 14089902.578718 3774501.325767 0 0
2452248.045061 14011697.062262 3757159.361461 0 0
2452248.295061 13681971.439248 3681465.513978 0 0
2452248.545048 13753060.642141 3698711.224231 0 0
2452248.795058 13962189.455193 3748137.831858 0 0
2452249.045047 13869291.250723 3727410.951894 0 0
2452249.295043 13953114.549364 3747778.182070 0 0
2452249.545046 13850409.692181 3724739.780954 0 0
2452249.795060 13859257.264351 3727688.332165 0 0
2452250.295058 14150993.936432 3797485.775605 0 0
2452250.545047 14440991.393128 3866206.867581 0 0
2452250.795045 14177372.419881 3805533.287397 0 0
2452251.045059 14162506.011981 3803020.459656 0 0
2452251.295042 14290362.982461 3833883.829628 0 0
2452251.545048 14198057.546470 3813312.681821 0 0
2452251.795046 14250190.125355 3826498.977303 0 0
2452252.045052 14761197.959867 3947392.632237 0 0
2452252.295053 14246102.096562 3827554.753638 0 0
2452252.545048 13985509.385338 3767673.515672 0 0
2452252.795062 13967629.297490 3764501.691742 0 0
2452253.045044 14050301.355425 3784854.206117 0 0
2452253.295044 13955504.220702 3763704.322739 0 0
2452253.545057 13940505.639568 3761333.577247 0 0
2452253.795069 13771061.808208 3722752.791449 0 0
2452254.295069 13860583.456408 3745765.850114 0 0
2452254.545048 13942203.624917 3766078.838298 0 0
2452254.795064 13916545.799721 3761138.986633 0 0
2452255.045053 13883636.651299 3754505.248913 0 0
2452255.295062 14023664.113000 3788433.552908 0 0
2452255.545042 13883971.814605 3756937.813523 0 0
2452255.795047 13775937.930913 3732708.235093 0 0
2452256.045056 14017080.530493 3790403.938111 0 0
2452256.295020 13853962.419292 3753219.739780 0 0
2452256.545023 13602156.528781 3695503.152434 0 0
2452256.795039 13716798.624266 3723487.891478 0 0
2452257.045022 13710117.741313 3723045.882820 0 0
2452257.295025 13431802.246798 3658936.368146 0 0
2452257.545039 13455533.648337 3665851.907593 0 0
2452257.795019 13335245.629522 3638805.535274 0 0
2452258.045028 13234993.100000 3616465.750667 0 0
2452258.295704 13107588.549563 3587797.330363 0 0
2452258.545741 13518981.167633 3685568.874667 0 0
2452258.795756 13374032.768169 3652708.503590 0 0
2452259.045799 13263362.418685 3627911.334094 0 0
2452259.295692 13356118.441309 3650820.694352 0 0
2452259.545649 13184469.748364 3612028.747225 0 0
2452259.795403 12985845.495081 3566664.440035 0 0
2452260.045031 13013618.393066 3574310.031553 0 0
2452260.295002 12940472.243529 3558339.463112 0 0
2452261.545787 12955172.748139 3568334.663397 0 0
2452261.795325 13010024.046139 3582402.565849 0 0
2452262.044909 12839465.770334 3543566.036541 0 0
2452262.294606 13026770.773886 3588750.334270 0 0
2452262.544655 13089824.177477 3605205.038418 0 0
2452262.794637 13093643.213355 3607336.684996 0 0
2452263.294234 13165738.650649 3626822.727877 0 0
2452263.543461 13276034.282497 3654561.313483 0 0
2452264.043245 13853371.345784 3794091.780809 0 0
2452264.295636 13674579.254687 3752940.756702 0 0
2452264.545801 13812563.211573 3787584.419535 0 0
2452264.795771 13751803.170370 3774481.993271 0 0
2452265.045715 13842934.752017 3797557.983848 0 0
2452265.295667 13734260.764755 3773038.818594 0 0
2452265.545712 13805274.043134 3791852.511284 0 0
2452265.795706 13746587.797859 3779243.686343 0 0
2452266.045415 13697552.383593 3768936.233984 0 0
2452266.295392 13880053.390854 3813911.277650 0 0
2452266.544986 13957887.964640 3834488.868812 0 0
2452266.794931 13829683.990772 3805244.924490 0 0
2452267.295769 14312706.477877 3923991.426070 0 0
2452267.545718 14360967.284895 3937680.253837 0 0
2452267.795844 14572394.529705 3990139.845561 0 0
2452268.045670 14617264.520529 4002507.890494 0 0
2452268.295673 14788439.094626 4045428.132949 0 0
2452268.545641 14958818.035511 4088887.302867 0 0
2452268.795649 14973017.533001 4093935.071480 0 0
2452269.045324 14556337.679986 3994638.923093 0 0
2452269.294988 14416973.517299 3962516.144659 0 0
2452271.045702 14372175.888604 3964037.503808 0 0
2452271.295791 14502957.164959 3997379.241216 0 0
2452271.544950 14425110.438742 3980787.573219 0 0
2452271.795123 14756712.572328 4063078.920176 0 0
2452272.045034 14590627.951074 4024295.101515 0 0
2452281.545732 12293719.303820 3533881.282212 0 0
2452281.795719 12256495.688180 3526366.550262 0 0
2452282.045722 12000325.012366 3465634.859663 0 0
2452282.295726 12032580.859480 3474982.834409 0 0
2452282.545727 12042784.812227 3478990.912767 0 0
2452282.795721 11901087.270618 3446079.087500 0 0
2452283.045720 11815814.677647 3426883.894561 0 0
2452283.295716 11709169.612741 3402508.956497 0 0
2452283.795718 11829549.517440 3435552.840135 0 0
2452284.045742 11687251.077412 3402474.161838 0 0
2452284.295722 11874145.155599 3449452.198764 0 0
2452284.545746 12036689.037336 3491483.825922 0 0
2452284.795726 12235255.741123 3541653.168962 1 0
2452289.320659 12637408.130049 3375619.469545 0 1
2452289.545701 12717314.528811 3394884.338284 0 0
2452289.795734 12408112.372567 3324289.404447 0 0
2452291.295733 12681089.732681 3388016.855092 0 0
2452291.545734 12841464.305351 3425829.629752 0 0
2452291.795737 13013372.302569 3465392.606920 0 0
2452292.045735 13035724.993328 3470641.546714 0 0
2452292.356915 12814279.489622 3419959.021999 0 0
2452292.545757 12524407.284724 3354667.853766 0 0
2452292.795756 12382387.258268 3322356.899675 0 0
2452293.045746 12494548.910377 3348109.851852 0 0
2452293.295730 12642140.749357 3382016.378734 0 0
2452293.545731 13091518.934255 3486320.787423 0 0
2452294.045726 13240742.802664 3521033.643595 0 0
2452294.295731 12959197.391705 3456410.559887 0 0
2452294.545729 13498990.249574 3582056.917627 0 0
2452294.795728 13625705.342128 3611573.610113 0 0
2452295.045743 13688533.900197 3626336.131167 0 0
2452295.295730 13798987.125002 3652156.826474 0 0
2452295.545734 13862392.346071 3668157.291220 0 0
2452295.795740 13946272.205711 3687875.104447 0 0
2452296.045741 13885119.611644 3673929.091204 0 0
2452296.295728 13649346.953905 3619509.234625 0 0
2452296.545728 13933323.536062 3686719.793343 0 0
2452296.795761 14085047.604623 3722276.232397 0 0
2452297.045722 14320695.875097 3777451.593399 0 0
2452297.295741 14207915.721255 3751472.260014 0 0
2452297.546091 14600869.015852 3844577.269688 0 0
2452297.795750 14601291.271757 3845003.615294 0 0
2452298.045727 14717148.715236 3872439.586894 0 0
2452298.295733 14908351.246031 3917566.213999 0 0
2452298.795767 14931116.643279 3924760.759153 0 0
2452299.045753 15090151.316170 3962461.244618 0 0
2452299.295727 14937010.021552 3926914.127582 0 0
2452299.545729 15023574.866911 3948754.639838 0 0
2452299.795745 14990274.289251 3941346.314202 0 0
2452300.045762 15167551.263621 3983416.199183 0 0
2452300.295731 15022397.424387 3949737.393555 0 0
2452300.545728 15398133.887192 4039702.141779 0 0
2452300.795723 15302496.752303 4017635.265850 0 0
2452301.045735 15495912.312218 4063677.056055 0 0
2452301.295745 15252411.931077 4006780.596530 0 0
2452301.545746 15385111.045852 4039664.300573 0 0
2452301.795747 15291261.971780 4018039.117457 0 0
2452302.045768 15136633.617952 3982118.787384 0 0
2452302.295730 14807741.439711 3905272.518277 0 0
2452302.795745 14947429.713479 3940236.462790 0 0
2452303.045741 15101514.894903 3977040.960321 0 0
2452303.295728 15031013.843170 3960975.143995 0 0
2452303.545734 14909349.636910 3933977.000530 0 0
2452303.795750 14942925.069609 3942434.152776 0 0
2452304.045733 14817614.875364 3913495.510856 0 0
2452304.295790 14757026.665870 3899804.956457 0 0
2452304.545728 14826684.800808 3917856.056917 0 0
2452304.795728 14661553.866354 3879573.458047 0 0
2452305.045733 14581841.913926 3861411.470262 0 0
2452305.295744 14586465.829042 3863090.566587 0 0
2452305.545748 14414643.852337 3824352.073008 0 0
2452305.795729 14212524.197638 3777490.575839 0 0
2452306.045745 14082714.880118 3747644.108482 0 0
2452306.295751 13796661.641083 3681256.132257 0 0
2452306.545763 13879085.005889 3702155.027068 0 0
2452306.795741 13925572.972061 3713656.812634 0 0
2452307.045729 13856844.467728 3698175.823312 0 0
2452307.295741 13712180.346727 3664933.208882 0 0
2452307.545764 13505672.262506 3618255.733503 0 0
2452308.045753 13385478.378009 3591437.408668 0 0
2452308.295751 13321053.347582 3577033.189681 0 0
2452308.545735 13224976.392201 3556205.664533 0 0
2452308.795741 13315807.650160 3578051.535139 0 0
2452309.045735 13146102.817807 3539100.999644 0 0
2452309.295719 13056918.194076 3518963.699318 0 0
2452309.545748 13088059.986014 3527809.419805 0 0
2452309.795725 13338878.838338 3587059.595928 0 0
2452310.045723 13388532.711895 3599366.786205 0 0
2452310.295739 13327072.592532 3585685.624750 0 0
2452310.545818 13483469.944505 3623946.978274 0 0
2452312.341472 13893158.521718 3726639.818961 0 0
2452312.545325 13674910.781425 3676790.810300 0 0
2452312.795477 13690947.192880 3681367.493480 0 0
2452313.045443 13449562.101352 3625379.960073 0 0
2452313.295429 13353868.507908 3603694.718798 0 0
2452313.545432 13462738.455338 3630967.013761 0 0
2452313.795035 13436727.158271 3625664.982421 0 0
2452314.045698 13255312.883856 3583839.604534 0 0
2452314.264448 13288104.206536 3592264.241512 0 0
2452314.545007 13428994.238936 3627199.350823 0 0
2452314.795022 13318926.017668 3602135.540213 0 0
2452315.044677 13259232.626673 3588938.012563 0 0
2452315.295690 13082389.983308 3548218.607248 0 0
2452315.545716 13220731.847343 3582419.104619 0 0
2452315.795396 13099434.616814 3554747.563591 0 0
2452316.045646 13030989.103202 3539521.969979 0 0
2452316.264527 12963208.725528 3524352.930726 0 0
2452316.545774 12734741.423261 3472481.439232 0 0
2452316.795676 12770820.089111 3481808.849577 0 0
2452317.295460 12515146.996500 3423610.446235 0 0
2452317.545396 12616372.330420 3448953.374090 0 0
2452317.795333 12539265.632457 3431755.005577 0 0
2452318.045313 12666568.410187 3462513.892339 0 0
