# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2452411.045654 11610125.456485 99652.111184 0 0
2452411.295719 11519622.742535 99646.848026 0 0
2452411.545678 11463091.957934 99671.897290 0 0
2452411.795725 11430419.903707 99671.137110 0 0
2452412.045700 11348825.066402 99678.435322 0 0
2452412.295770 11256235.819411 99665.693099 0 0
2452412.545751 11338402.372739 99691.662264 0 0
2452412.795755 11392427.031355 99701.272487 0 0
2452413.295620 11480185.899914 99701.084056 0 0
2452413.545732 11485033.330187 99728.886613 0 0
2452413.795721 11458957.874257 99728.101344 0 0
2452414.045656 11510326.592512 99736.405756 0 0
2452414.295616 11788737.615633 99737.913359 0 0
2452414.545634 12002518.309862 99763.345846 0 0
2452414.795609 11878924.537089 99762.942619 0 0
2452415.045745 11933094.409153 99762.435211 0 0
2452415.295745 11979539.308561 99760.698244 0 0
2452415.545702 11817022.990614 99784.444672 0 0
2452415.795652 12093107.530311 99785.901289 0 0
2452416.045652 11886239.057400 99787.792322 0 0
2452416.295756 11872552.723275 99772.351853 0 0
2452416.545742 11956145.663009 99796.101206 0 0
2452416.795632 12244436.179818 99798.189805 0 0
2452417.045769 11940561.088496 99796.268540 0 0
2452417.295714 11935159.813317 99796.815405 0 0
2452417.545694 11948699.743114 99821.595483 0 0
2452417.795690 11765571.998694 99820.130663 0 0
2452418.045281 11832373.520017 99820.981957 0 0
2452418.295662 11937827.763079 99821.804476 0 0
2452418.545636 11883131.310744 99845.792490 0 0
2452418.795643 11936624.133011 99845.472857 0 0
2452419.045812 11908560.339232 99845.625195 0 0
2452419.545244 12275851.416240 99871.916594 0 0
2452420.045380 12492662.318175 99875.241574 0 0
2452420.295344 12660615.503619 99875.933848 0 0
2452420.545249 12828103.139214 99900.080998 0 0
2452420.795364 12927078.238250 99900.905884 0 0
2452421.045740 12897249.340384 99899.480491 0 0
2452421.295683 13041961.542101 99901.010799 0 0
2452421.545291 13215179.449698 99924.157757 0 0
2452421.795384 13137704.259250 99922.845542 0 0
2452422.045260 13409146.970041 99926.722337 0 0
2452422.795338 13593346.363099 99950.049684 0 0
2452423.045324 13854830.052879 99960.351345 0 0
2452423.295355 13824139.661346 99949.365828 0 0
2452423.544537 13733936.857798 99970.316035 0 0
2452423.794662 13661699.831774 99968.690148 0 0
2452424.044612 13530160.133823 99970.302802 0 0
2452424.294537 13471802.045112 99969.109492 0 0
2452424.544659 13441229.007445 99989.683625 0 0
2452424.794547 13300339.019625 99988.042676 0 0
2452425.044644 13438756.843875 99997.091464 0 0
2452425.294650 13624840.762212 99998.332810 0 0
2452425.544128 13332062.501754 100018.284939 0 0
2452425.794266 13376122.823262 100019.512151 0 0
2452426.044180 13339717.379660 100017.361570 0 0
2452426.294774 13333998.905117 100004.045408 0 0
2452426.795007 13305429.011440 100026.269278 0 0
2452427.295076 13355200.833708 100022.327124 0 0
2452427.544922 13311822.186905 100041.342279 0 0
2452427.794941 13149988.708313 100075.647860 0 0
