# average_observation_time[JD] flux[DN/s] flux_unc[DN/s] last_data_point_before_bakeout first_data_point_after_bakeout
2459349.540741 2457454.854395 5693653.698095 0 0
2459350.040014 2457419.239729 5712016.311262 0 0
2459350.539949 2457383.520383 5717851.131231 0 0
2459351.039238 2457347.697663 5738843.324594 0 0
2459351.538870 2457311.775440 5751301.191231 0 0
2459352.038717 2457275.756344 5742893.433027 0 0
2459352.541094 2457239.645325 5735069.237858 0 0
2459353.040485 2457203.439751 5738622.139659 0 0
2459354.040588 2457130.765522 5704797.059261 0 0
2459354.540148 2457094.301121 5678769.076047 0 0
2459355.039745 2457057.756333 5672895.339433 0 0
2459355.539975 2457021.133769 5653748.282346 0 0
2459356.039838 2456984.435514 5677955.725208 0 0
2459356.541468 2456947.666452 5665853.707392 0 0
2459357.040858 2456910.825247 5637152.069158 0 0
2459357.540711 2456873.917246 5642380.688981 0 0
2459358.040201 2456836.944392 5651214.281102 0 0
2459358.539616 2456799.909731 5667441.815264 0 0
2459359.039473 2456762.816443 5687193.243302 0 0
2459359.539243 2456725.666766 5689733.370813 0 0
2459360.041683 2456688.466010 5717222.900817 0 0
2459360.541097 2456651.211245 5744862.311693 0 0
2459361.095422 2456609.760031 5718367.732533 0 0
2459361.624619 2456570.332195 5733934.025104 0 0
2459362.041329 2456539.170520 5714475.397285 0 0
2459362.541588 2456501.739734 5723300.043239 0 0
2459363.040856 2456464.270615 5736670.014243 0 0
2459363.541791 2456426.768382 5678579.384151 0 0
2459364.041442 2456389.232677 5716390.172708 0 0
2459364.541550 2456351.668090 5748483.999801 0 0
2459365.540319 2456276.459853 5759509.458890 0 0
2459366.040310 2456238.822810 5784966.759236 0 0
2459366.539791 2456201.166615 5779397.952391 0 0
2459367.039178 2456163.494140 5760848.218988 0 0
2459367.541714 2456125.811489 5760846.898237 0 0
2459368.040933 2456088.114609 5748542.945204 0 0
2459369.041235 2456012.701121 5773808.850623 0 0
2459369.540329 2455974.987678 5763688.396970 0 0
2459370.039958 2455937.274669 5761398.193426 0 0
2459370.540879 2455899.565232 5745032.319475 0 0
2459371.041173 2455861.860318 5755920.812776 0 0
2459372.540136 2455829.196292 5808129.192407 0 0
2459373.040299 2455867.857292 5839329.355349 0 0
2459373.541912 2455906.503835 5815941.704067 0 0
2459374.041681 2455945.130444 5808437.604519 0 0
2459374.541623 2455983.736113 5810968.291401 0 0
2459375.041408 2456022.318055 5804198.763221 0 0
2459376.541889 2456137.897763 5791580.234801 0 0
2459379.541836 2456368.072143 5802363.385872 0 0
2459380.041839 2456406.277247 5771713.344320 0 0
2459380.539399 2456444.428189 5744156.551379 0 0
2459381.041732 2456482.529600 5712348.875692 0 0
2459381.541701 2456520.571941 5705766.530090 0 0
2459382.041422 2456558.554740 5665931.314045 0 0
2459382.540494 2456596.475090 5680459.011514 0 0
2459383.040273 2456634.331879 5699679.950805 0 0
2459383.540011 2456672.121850 5691335.276981 0 0
2459384.039446 2456709.842222 5702320.167679 0 0
2459384.541840 2456747.493805 5718539.561927 0 0
2459385.041738 2456785.068632 5745459.950969 0 0
2459386.041297 2456859.985454 5727412.601025 0 0
2459386.541243 2456897.322818 5716161.123276 0 0
2459387.041364 2456934.576273 5773730.434422 0 0
2459388.041287 2457008.820875 5903654.525868 0 0
2459388.540825 2457045.806906 5913562.653213 0 0
2459389.040621 2457082.699399 5845220.928885 0 0
2459389.540314 2457119.495596 5834261.273744 0 0
2459390.039795 2457156.192989 5854003.445036 0 0
2459391.039894 2457229.283612 5892863.693232 0 0
2459391.541687 2457265.673306 5883267.282787 0 0
2459392.041289 2457301.952711 5939339.601852 0 0
2459392.541236 2457338.122064 5917339.380101 0 0
2459393.041497 2457374.178976 5928097.790760 0 0
2459393.541331 2457410.120385 5950179.897864 0 0
2459394.041089 2457445.944365 5927880.066118 0 0
2459394.540389 2457481.648189 5958634.150691 0 0
2459395.040029 2457517.230372 5892604.457865 0 0
2459395.541708 2457552.690321 5937262.448117 0 0
2459396.041856 2457588.022268 5883585.762866 0 0
2459396.541502 2457623.224919 5871800.311632 0 0
2459397.040987 2457658.296392 5914967.471658 0 0
2459397.540819 2457693.234963 5896391.727276 0 0
2459398.040771 2457728.038126 5909273.103522 0 0
2459398.541597 2457762.704455 5942106.304115 0 0
2459399.041568 2457797.230130 5934291.883587 0 0
2459399.540207 2457831.612279 5930417.694552 0 0
2459400.539359 2457899.943635 5929242.574785 0 0
2459401.038585 2457933.887181 5908675.805367 0 0
2459401.538645 2457967.680715 5935041.225940 0 0
2459402.041832 2458001.324613 5894184.389354 0 0
2459403.040613 2458068.137507 5849116.555015 0 0
2459403.540778 2458101.307093 5834779.016548 0 0
2459404.041732 2458134.316114 5809307.003509 0 0
2459404.541345 2458167.160394 5801925.619280 0 0
2459405.041372 2458199.839762 5828224.429037 0 0
2459405.541320 2458232.351540 5780775.475927 0 0
2459406.041568 2458264.694122 5805042.477075 0 0
2459406.541603 2458296.865114 5809701.477584 0 0
2459407.041345 2458328.862163 5792734.534584 0 0
2459407.541305 2458360.684187 5739967.152304 0 0
2459408.040986 2458392.328383 5716652.627893 0 0
2459408.540866 2458423.792809 5716082.836866 0 0
2459409.040979 2458455.076771 5721572.093365 0 0
2459409.540933 2458486.177385 5759496.498685 0 0
2459410.041199 2458517.093236 5769825.758982 0 0
2459410.541920 2458547.822246 5764850.280114 0 0
2459411.041715 2458578.361573 5800468.382251 0 0
2459411.541797 2458608.710227 5809743.621418 0 0
2459412.041917 2458638.866306 5839681.477585 0 0
2459412.541582 2458668.827513 5859903.033567 0 0
2459413.041049 2458698.591928 5884122.259887 0 0
2459413.540562 2458728.158182 5867056.075400 0 0
2459414.040298 2458757.524530 5885811.519072 0 0
2459414.540098 2458786.689073 5907744.252269 0 0
2459415.040388 2458815.650509 5910929.848756 0 0
2459416.041467 2458872.955583 5907308.211062 0 0
2459416.541232 2458901.294571 5953750.062014 0 0
2459417.040813 2458929.422500 5983284.413536 0 0
2459417.540675 2458957.338188 5998477.749746 0 0
2459418.040747 2458985.039808 6064403.231036 0 0
2459418.540396 2459012.524809 6045427.178931 0 0
2459419.040031 2459039.792173 6079565.568360 0 0
2459420.540860 2459120.271666 6003689.056822 0 0
2459421.040310 2459146.650367 5998888.706617 0 0
2459421.540205 2459172.803177 5929451.754805 0 0
2459422.040440 2459198.728224 5916350.610347 0 0
2459422.540305 2459224.423457 5903377.750276 0 0
2459424.041064 2459300.115636 5878070.063993 0 0
2459425.040243 2459349.397312 5869615.442104 0 0
2459425.539816 2459373.679742 5835249.251164 0 0
2459426.039988 2459397.721800 5854683.498612 0 0
2459426.541912 2459421.522944 5857023.038254 0 0
2459427.041456 2459445.077359 5884197.301223 0 0
2459427.541174 2459468.386217 5824823.795845 0 0
2459428.041071 2459491.447840 5820008.829516 0 0
2459428.540731 2459514.260369 5836960.481823 0 0
2459429.040717 2459536.822724 5859245.627990 0 0
2459429.541871 2459559.134213 5841420.309635 0 0
2459430.040514 2459581.189662 5822314.174739 0 0
2459430.540098 2459602.990903 5797901.870626 0 0
2459431.040231 2459624.536261 5801269.513022 0 0
2459431.540385 2459645.823537 5794069.653934 0 0
2459432.040353 2459666.850974 5819941.011962 0 0
2459432.541773 2459687.618852 5908596.744247 0 0
2459433.541294 2459728.362278 5921829.726487 0 0
2459435.539816 2459806.652382 5852380.967967 0 0
2459436.041825 2459825.553014 5810834.654296 0 0
2459436.541415 2459844.176678 5847425.786125 0 0
2459437.041117 2459862.528558 5843503.386968 0 0
2459438.539707 2459915.926732 5871427.594813 0 0
2459440.041260 2459966.813894 5845199.183295 0 0
2459440.541234 2459983.210926 5852394.544220 0 0
2459441.041544 2459999.323718 5880883.417844 0 0
2459441.541299 2460015.150122 5865794.401268 0 0
2459442.540264 2460045.939748 5921580.300536 0 0
2459443.039877 2460060.900891 5906430.827149 0 0
2459443.541855 2460075.573658 5894831.835447 0 0
2459444.041867 2460089.952412 5886646.469571 0 0
2459444.541470 2460104.037540 5882427.007775 0 0
2459445.040477 2460117.827758 5901042.537798 0 0
2459445.540090 2460131.322959 5910816.249993 0 0
2459446.040078 2460144.521895 5931414.967722 0 0
2459446.541825 2460157.424747 5937478.938593 0 0
2459447.041926 2460170.027038 5904775.681266 0 0
2459447.541500 2460182.328784 5942719.744061 0 0
2459448.041171 2460194.329525 5900876.388369 0 0
2459448.539258 2460206.026554 5912297.842770 0 0
2459449.540062 2460228.514484 5881634.796658 0 0
2459450.039982 2460239.300529 5902104.226252 0 0
2459450.541839 2460249.782281 5892863.744336 0 0
2459451.041704 2460259.954834 5833677.554876 0 0
2459451.541655 2460269.819200 5903810.159141 0 0
2459452.041916 2460279.374726 5923086.517816 0 0
2459452.541003 2460288.618984 5897485.531765 0 0
2459453.040780 2460297.552969 5929446.477672 0 0
2459453.541866 2460306.176317 5982906.118960 0 0
2459454.041944 2460314.485931 5978845.615301 0 0
2459454.541758 2460322.481593 6017454.624008 0 0
2459455.041785 2460330.163056 5972683.824227 0 0
2459455.541291 2460337.528714 6046090.822073 0 0
2459456.040709 2460344.578200 6078969.792382 0 0
2459457.039972 2460357.726289 6027771.635848 0 0
2459457.541856 2460363.825444 6027837.888722 0 0
2459458.041119 2460369.602915 6065836.650030 0 0
2459458.540722 2460375.060978 6024326.084154 0 0
2459459.040356 2460380.198624 6000958.019939 0 0
2459459.540204 2460385.015410 6036777.672071 0 0
2459460.039950 2460389.510384 6058126.519861 0 0
2459461.041130 2460397.534492 6114841.156430 0 0
2459461.540545 2460401.060432 6111676.353873 0 0
2459462.040445 2460404.262879 6082632.887104 0 0
2459462.539539 2460407.139980 6044470.218410 0 0
2459463.539455 2460411.920384 6057117.332222 0 0
2459464.041807 2460413.824301 6079445.663057 0 0
2459464.541795 2460415.399487 6090701.366713 0 0
2459465.041918 2460416.648042 6084727.439839 0 0
2459466.041155 2460418.162334 6102453.154756 0 0
2459466.539619 2460418.426734 6130946.814391 0 0
2459467.039614 2460418.364514 6127492.197508 0 0
2459467.539649 2460417.973892 6098929.185822 0 0
2459468.039659 2460417.254536 6145416.019234 0 0
2459468.541393 2460416.207957 6206595.814679 0 0
2459469.040949 2460414.830037 6125233.688948 0 0
2459469.540908 2460413.123159 6137817.565272 0 0
2459470.040757 2460411.086649 6148414.550587 0 0
2459470.540272 2460408.720143 6096855.957542 0 0
2459471.040086 2460406.024161 6081504.358902 0 0
2459471.541655 2460402.998906 6105958.111969 0 0
2459472.541001 2460395.957115 6086086.077200 0 0
2459473.041064 2460391.941669 6038908.097785 0 0
2459473.540809 2460387.595958 5988991.667752 0 0
2459474.539908 2460377.914525 5911369.547991 0 0
2459475.039573 2460372.579286 5917142.466603 0 0
2459475.541661 2460366.916876 5954463.793761 0 0
2459476.041466 2460360.922729 5942847.062314 0 0
2459476.541526 2460354.599583 5940577.423632 0 0
2459477.041543 2460347.947330 5945807.453373 0 0
2459477.541287 2460340.965992 5967317.600014 0 0
2459478.041566 2460333.656628 5996187.521893 0 0
2459478.541733 2460326.018879 6033100.599611 0 0
2459479.041457 2460318.052739 6028103.930053 0 0
2459479.540905 2460309.758710 6111316.907094 0 0
2459480.041174 2460301.138266 6220863.990117 0 0
2459480.540829 2460292.190373 6265630.366661 0 0
2459481.040453 2460282.916037 6282399.087720 0 0
2459481.541785 2460273.317451 6344421.783331 0 0
2459482.041865 2460263.392137 6321275.882809 0 0
2459482.541920 2460253.141843 6358882.395396 0 0
2459483.041689 2460242.566825 6385398.843278 0 0
